Name,Strategy,Num dim,RMSE,MAE,MAPE,Run time (extr),Run time (tsf),Num features,Time/feature,Run time (classif),Total time
HouseholdPowerConsumption1-no-missing,raw,5,521.1155395507812,404.9826965332031,0.5650701522827148,0.0,0.0,7200.0,0.0,0.0005977153778076172,0.0005977153778076172
HouseholdPowerConsumption2-no-missing,raw,5,55.72433090209961,40.33937072753906,0.2921528220176697,0.0,0.0,7200.0,0.0,0.0005657672882080078,0.0005657672882080078
BeijingPM25Quality-no-missing,raw,9,112.90727996826172,82.41793060302734,1.3815734386444092,0.0,0.0,216.0,0.0,0.0005793571472167969,0.0005793571472167969
BeijingPM10Quality-no-missing,raw,9,136.3853759765625,100.47341918945312,0.9016326069831848,0.0,0.0,216.0,0.0,0.0005235671997070312,0.0005235671997070312
Covid3Month,raw,1,0.04471992701292038,0.03383985534310341,32689606361088.0,0.0,0.0,84.0,0.0,0.0003120899200439453,0.0003120899200439453
LiveFuelMoistureContent,raw,7,41.134639739990234,31.248083114624023,0.28964895009994507,0.0,0.0,2555.0,0.0,0.0005700588226318359,0.0005700588226318359
FloodModeling1,raw,1,0.01886332966387272,0.014414040371775627,0.03225432708859444,0.0,0.0,266.0,0.0,0.0003058910369873047,0.0003058910369873047
FloodModeling2,raw,1,0.018547993153333664,0.004524612333625555,0.015641525387763977,0.0,0.0,266.0,0.0,0.0003020763397216797,0.0003020763397216797
FloodModeling3,raw,1,0.022793730720877647,0.016414066776633263,0.039460472762584686,0.0,0.0,266.0,0.0,0.0002925395965576172,0.0002925395965576172
AppliancesEnergy,raw,24,3.454899311065674,2.787015199661255,0.20817899703979492,0.0,0.0,3456.0,0.0,0.0003597736358642578,0.0003597736358642578
BenzeneConcentration-no-missing,raw,8,8.015239715576172,6.2129411697387695,1.5697311162948608,0.0,0.0,1920.0,0.0,0.0005803108215332031,0.0005803108215332031
NewsHeadlineSentiment,raw,3,0.1422484666109085,0.1089707612991333,4051746160640.0,0.0,0.0,432.0,0.0,0.0006477832794189453,0.0006477832794189453
NewsTitleSentiment,raw,3,0.13810528814792633,0.09771041572093964,4864986841088.0,0.0,0.0,432.0,0.0,0.0006616115570068359,0.0006616115570068359
BIDMC32RR,raw,2,3.4967525005340576,2.660461664199829,0.16231991350650787,0.0,0.0,8000.0,0.0,0.0005943775177001953,0.0005943775177001953
BIDMC32HR,raw,2,14.110198974609375,10.436650276184082,0.12057358771562576,0.0,0.0,8000.0,0.0,0.0005998611450195312,0.0005998611450195312
BIDMC32SpO2,raw,2,4.802914142608643,3.495105743408203,0.03804640844464302,0.0,0.0,8000.0,0.0,0.0005779266357421875,0.0005779266357421875
IEEEPPG,raw,5,37.264095306396484,29.292964935302734,0.33637821674346924,0.0,0.0,5000.0,0.0,0.0006458759307861328,0.0006458759307861328
PPGDalia-equal-length,raw,4,22.643590927124023,18.360305786132812,0.23126906156539917,0.0,0.0,1024.0,0.0,0.0006668567657470703,0.0006668567657470703
AcousticContaminationMadrid-no-missing,raw,1,6.49100399017334,5.139105796813965,0.0610598586499691,0.0,0.0,365.0,0.0,0.0003039836883544922,0.0003039836883544922
AluminiumConcentration,raw,1,473.9932556152344,369.53704833984375,0.6899382472038269,0.0,0.0,2542.0,0.0,0.00033020973205566406,0.00033020973205566406
BeijingIntAirportPM25Quality,raw,6,75.23966217041016,57.07549285888672,1.183570384979248,0.0,0.0,144.0,0.0,0.0003235340118408203,0.0003235340118408203
