ts_id,COUNT(values),MAX(values.dim_0),MEAN(values.dim_0),MEDIAN(values.dim_0),MIN(values.dim_0),SKEW(values.dim_0),STD(values.dim_0),SUM(values.dim_0),MAX(values.AUTO_CORRELATION(dim_0) by ts_id),MAX(values.DERIVATIVE(dim_0) by ts_id),"MAX(values.DERIVATIVE(dim_0, order=2) by ts_id)",MAX(values.FOURRIER_TRANSFORM(dim_0) by ts_id),MAX(values.INTEGRAL(dim_0) by ts_id),"MAX(values.INTEGRAL(dim_0, order=2) by ts_id)",MEAN(values.AUTO_CORRELATION(dim_0) by ts_id),MEAN(values.DERIVATIVE(dim_0) by ts_id),"MEAN(values.DERIVATIVE(dim_0, order=2) by ts_id)",MEAN(values.FOURRIER_TRANSFORM(dim_0) by ts_id),MEAN(values.INTEGRAL(dim_0) by ts_id),"MEAN(values.INTEGRAL(dim_0, order=2) by ts_id)",MEDIAN(values.AUTO_CORRELATION(dim_0) by ts_id),MEDIAN(values.DERIVATIVE(dim_0) by ts_id),"MEDIAN(values.DERIVATIVE(dim_0, order=2) by ts_id)",MEDIAN(values.FOURRIER_TRANSFORM(dim_0) by ts_id),MEDIAN(values.INTEGRAL(dim_0) by ts_id),"MEDIAN(values.INTEGRAL(dim_0, order=2) by ts_id)",MIN(values.AUTO_CORRELATION(dim_0) by ts_id),MIN(values.DERIVATIVE(dim_0) by ts_id),"MIN(values.DERIVATIVE(dim_0, order=2) by ts_id)",MIN(values.FOURRIER_TRANSFORM(dim_0) by ts_id),MIN(values.INTEGRAL(dim_0) by ts_id),"MIN(values.INTEGRAL(dim_0, order=2) by ts_id)",SKEW(values.AUTO_CORRELATION(dim_0) by ts_id),SKEW(values.DERIVATIVE(dim_0) by ts_id),"SKEW(values.DERIVATIVE(dim_0, order=2) by ts_id)",SKEW(values.FOURRIER_TRANSFORM(dim_0) by ts_id),SKEW(values.INTEGRAL(dim_0) by ts_id),"SKEW(values.INTEGRAL(dim_0, order=2) by ts_id)",STD(values.AUTO_CORRELATION(dim_0) by ts_id),STD(values.DERIVATIVE(dim_0) by ts_id),"STD(values.DERIVATIVE(dim_0, order=2) by ts_id)",STD(values.FOURRIER_TRANSFORM(dim_0) by ts_id),STD(values.INTEGRAL(dim_0) by ts_id),"STD(values.INTEGRAL(dim_0, order=2) by ts_id)",SUM(values.AUTO_CORRELATION(dim_0) by ts_id),SUM(values.DERIVATIVE(dim_0) by ts_id),"SUM(values.DERIVATIVE(dim_0, order=2) by ts_id)",SUM(values.FOURRIER_TRANSFORM(dim_0) by ts_id),SUM(values.INTEGRAL(dim_0) by ts_id),"SUM(values.INTEGRAL(dim_0, order=2) by ts_id)"
0,84.0,12.0,0.5119048,0.0,0.0,4.49748,1.7320094,43.0,271.0,12.0,12.0,0.37685886,43.0,391.0,22.011906,0.14457831,0.14634146,0.03528743,4.654762,38.47619,3.0,0.0,0.0,0.000656949,0.0,0.0,0.0,-5.0,-10.0,0.0,0.0,0.0,3.7819445,2.2883224,0.31169963,2.860682,2.26367,2.589037,38.412315,2.0129611,2.9984438,0.060976308,9.355745,86.0859,1849.0,12.0,12.0,2.964144,391.0,3232.0
1,84.0,9.0,0.21428572,0.0,0.0,6.2577715,1.2521926,18.0,134.0,7.0,9.0,0.09139239,18.0,67.0,3.857143,0.0,0.0,0.018444283,0.79761904,1.9761904,0.0,0.0,0.0,1.7957877e-33,0.0,0.0,0.0,-9.0,-11.0,0.0,0.0,0.0,5.9432535,-2.072809,-0.08385894,1.4168503,4.606911,5.56865,17.59117,1.3159435,2.012308,0.02645571,3.4841456,9.639247,324.0,0.0,0.0,1.5493197,67.0,166.0
2,84.0,9.0,0.13095239,0.0,0.0,8.601488,1.0033649,11.0,85.0,9.0,11.0,0.03418308,11.0,70.0,1.4404762,0.0,0.0,0.0118423365,0.8333333,3.107143,0.0,0.0,0.0,0.0069444445,0.0,0.0,0.0,-9.0,-18.0,0.0,0.0,0.0,8.182704,0.0,-2.7678933,0.43635437,3.3286865,4.276418,9.630963,1.4398509,2.5962937,0.012942843,2.853167,12.105976,121.0,0.0,0.0,0.9947562,70.0,261.0
3,84.0,4.0,0.20238096,0.0,0.0,3.7615404,0.6903773,17.0,43.0,3.0,4.0,0.056260373,17.0,281.0,3.4404762,0.0,-0.0121951215,0.0056065083,3.3452382,35.97619,0.0,0.0,0.0,0.00019992047,0.0,0.0,0.0,-4.0,-7.0,0.0,0.0,0.0,3.542714,-0.398557,-1.6575909,2.6192114,1.2641482,2.0305307,6.206004,0.82639384,1.3378987,0.009899448,5.6022673,73.29278,289.0,0.0,-1.0,0.4709467,281.0,3022.0
4,84.0,4603.0,523.5357,0.0,0.0,2.364509,1103.0569,43977.0,124012490.0,2269.0,3944.0,441336.28,43977.0,365009.0,23013572.0,52.228916,22.414635,14312.494,4345.345,30591.143,6248348.0,0.0,0.0,104.874214,12.0,204.0,4559.0,-2106.0,-3653.0,0.0,0.0,0.0,1.4513652,0.2518887,0.27918977,6.3556623,2.6166568,2.9364052,31477748.0,554.37396,919.6071,55986.523,9740.136,74818.61,1933140000.0,4335.0,1838.0,1202249.5,365009.0,2569656.0
5,84.0,6.0,0.42857143,0.0,0.0,3.1402638,1.1542035,36.0,126.0,5.0,8.0,0.28868413,36.0,356.0,15.428572,0.04819277,0.024390243,0.015670555,4.2380953,32.04762,2.0,0.0,0.0,0.00029121386,0.0,0.0,0.0,-6.0,-11.0,0.0,0.0,0.0,2.0003338,-0.11535074,-1.2434843,5.486025,2.0693765,2.696178,21.75509,1.3960189,2.4594269,0.0367212,8.865282,78.33599,1296.0,4.0,2.0,1.3163265,356.0,2692.0
6,84.0,95.0,12.928572,0.0,0.0,1.9432343,26.24435,1086.0,71208.0,95.0,159.0,264.50064,1086.0,10480.0,14040.429,0.79518074,0.1097561,8.10198,124.7619,938.1548,3627.0,0.0,0.0,0.018416855,0.0,0.0,0.0,-75.0,-170.0,0.0,0.0,0.0,1.2217208,0.79327595,0.062337168,6.77652,2.3218992,2.802925,18318.533,20.247107,36.014744,32.644703,265.463,2235.276,1179396.0,66.0,9.0,680.56635,10480.0,78805.0
7,84.0,3.0,0.071428575,0.0,0.0,6.5177174,0.37338293,6.0,12.0,3.0,4.0,0.009633717,6.0,58.0,0.42857143,0.0,0.0,0.0016399417,0.6904762,4.047619,0.0,0.0,0.0,0.00028344672,0.0,0.0,0.0,-3.0,-6.0,0.0,0.0,0.0,5.30005,0.0,-1.7791414,1.6821666,2.5020025,3.2779984,1.6003442,0.5410018,0.993808,0.002432367,1.7284033,11.763641,36.0,0.0,0.0,0.1377551,58.0,340.0
8,84.0,303.0,21.869047,0.0,0.0,3.1682625,63.00254,1837.0,369627.0,303.0,573.0,857.7158,1837.0,11229.0,40087.582,3.6506023,3.695122,46.691265,133.67857,720.8214,902.0,0.0,0.0,0.29589128,2.0,39.0,0.0,-270.0,-312.0,0.0,0.0,0.0,2.3211956,1.0810986,2.2636147,4.677446,3.2838795,3.6438787,74559.34,56.89709,97.02675,128.42432,365.82837,2030.6075,3367357.0,303.0,303.0,3922.0662,11229.0,60549.0
9,84.0,308.0,23.238094,0.0,0.0,3.1116166,59.255344,1952.0,336790.0,148.0,251.0,935.27844,1952.0,12523.0,45360.76,2.313253,-1.4146341,41.30233,149.08333,859.8333,2995.0,0.0,0.0,0.19516277,0.0,0.0,0.0,-116.0,-264.0,0.0,0.0,0.0,2.0683084,1.0752375,-0.68203104,5.081076,3.2141714,3.4011486,76359.8,33.394875,58.34147,133.9718,386.2953,2336.8823,3810304.0,192.0,-116.0,3469.3958,12523.0,72226.0
