,0_Absolute energy,0_Area under the curve,0_Autocorrelation,0_Centroid,0_ECDF Percentile Count_0,0_ECDF Percentile Count_1,0_ECDF Percentile_0,0_ECDF Percentile_1,0_ECDF_0,0_ECDF_1,0_ECDF_2,0_ECDF_3,0_ECDF_4,0_ECDF_5,0_ECDF_6,0_ECDF_7,0_ECDF_8,0_ECDF_9,0_Entropy,0_FFT mean coefficient_0,0_FFT mean coefficient_1,0_FFT mean coefficient_10,0_FFT mean coefficient_11,0_FFT mean coefficient_12,0_FFT mean coefficient_13,0_FFT mean coefficient_14,0_FFT mean coefficient_15,0_FFT mean coefficient_16,0_FFT mean coefficient_17,0_FFT mean coefficient_18,0_FFT mean coefficient_19,0_FFT mean coefficient_2,0_FFT mean coefficient_20,0_FFT mean coefficient_21,0_FFT mean coefficient_22,0_FFT mean coefficient_23,0_FFT mean coefficient_24,0_FFT mean coefficient_25,0_FFT mean coefficient_26,0_FFT mean coefficient_27,0_FFT mean coefficient_28,0_FFT mean coefficient_29,0_FFT mean coefficient_3,0_FFT mean coefficient_30,0_FFT mean coefficient_31,0_FFT mean coefficient_32,0_FFT mean coefficient_33,0_FFT mean coefficient_34,0_FFT mean coefficient_35,0_FFT mean coefficient_36,0_FFT mean coefficient_37,0_FFT mean coefficient_38,0_FFT mean coefficient_39,0_FFT mean coefficient_4,0_FFT mean coefficient_40,0_FFT mean coefficient_41,0_FFT mean coefficient_42,0_FFT mean coefficient_5,0_FFT mean coefficient_6,0_FFT mean coefficient_7,0_FFT mean coefficient_8,0_FFT mean coefficient_9,0_Fundamental frequency,0_Histogram_0,0_Histogram_1,0_Histogram_2,0_Histogram_3,0_Histogram_4,0_Histogram_5,0_Histogram_6,0_Histogram_7,0_Histogram_8,0_Histogram_9,0_Human range energy,0_Interquartile range,0_Kurtosis,0_LPCC_0,0_LPCC_1,0_LPCC_10,0_LPCC_11,0_LPCC_12,0_LPCC_2,0_LPCC_3,0_LPCC_4,0_LPCC_5,0_LPCC_6,0_LPCC_7,0_LPCC_8,0_LPCC_9,0_MFCC_0,0_MFCC_1,0_MFCC_10,0_MFCC_11,0_MFCC_2,0_MFCC_3,0_MFCC_4,0_MFCC_5,0_MFCC_6,0_MFCC_7,0_MFCC_8,0_MFCC_9,0_Max,0_Max power spectrum,0_Maximum frequency,0_Mean,0_Mean absolute deviation,0_Mean absolute diff,0_Mean diff,0_Median,0_Median absolute deviation,0_Median absolute diff,0_Median diff,0_Median frequency,0_Min,0_Negative turning points,0_Neighbourhood peaks,0_Peak to peak distance,0_Positive turning points,0_Power bandwidth,0_Root mean square,0_Signal distance,0_Skewness,0_Slope,0_Spectral centroid,0_Spectral decrease,0_Spectral distance,0_Spectral entropy,0_Spectral kurtosis,0_Spectral positive turning points,0_Spectral roll-off,0_Spectral roll-on,0_Spectral skewness,0_Spectral slope,0_Spectral spread,0_Spectral variation,0_Standard deviation,0_Sum absolute diff,0_Total energy,0_Variance,0_Wavelet absolute mean_0,0_Wavelet absolute mean_1,0_Wavelet absolute mean_2,0_Wavelet absolute mean_3,0_Wavelet absolute mean_4,0_Wavelet absolute mean_5,0_Wavelet absolute mean_6,0_Wavelet absolute mean_7,0_Wavelet absolute mean_8,0_Wavelet energy_0,0_Wavelet energy_1,0_Wavelet energy_2,0_Wavelet energy_3,0_Wavelet energy_4,0_Wavelet energy_5,0_Wavelet energy_6,0_Wavelet energy_7,0_Wavelet energy_8,0_Wavelet entropy,0_Wavelet standard deviation_0,0_Wavelet standard deviation_1,0_Wavelet standard deviation_2,0_Wavelet standard deviation_3,0_Wavelet standard deviation_4,0_Wavelet standard deviation_5,0_Wavelet standard deviation_6,0_Wavelet standard deviation_7,0_Wavelet standard deviation_8,0_Wavelet variance_0,0_Wavelet variance_1,0_Wavelet variance_2,0_Wavelet variance_3,0_Wavelet variance_4,0_Wavelet variance_5,0_Wavelet variance_6,0_Wavelet variance_7,0_Wavelet variance_8,0_Zero crossing rate
0,271.0,0.37,271.0,0.7770849,16.0,67.0,0.0,0.0,0.011904762,0.023809524,0.035714287,0.04761905,0.05952381,0.071428575,0.083333336,0.0952381,0.10714286,0.11904762,0.12421948,0.01759167,0.19766945,0.017784951,0.0039228518,0.0076205763,0.03613518,0.06676363,0.07436216,0.055869974,0.027226517,0.009732256,0.014141899,0.062488668,0.030675989,0.037035123,0.024763523,0.008404176,0.0028666204,0.006150082,0.008162779,0.005454614,0.0040834956,0.012934314,0.013701251,0.029089544,0.03323035,0.017001636,0.004483617,0.018736118,0.03984972,0.033358872,0.007899381,0.0014814674,0.018973526,0.014263744,0.027107693,0.011896687,6.8297277e-06,0.018566994,0.012305113,0.0031384148,0.012376187,0.02434742,1.2195122,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,2.0,0.2587981,0.0,22.76143,0.085109994,0.19863164,0.054610748,0.034172278,0.19863164,0.034172278,0.054610748,0.0017257857,0.52347654,0.35109395,0.35109395,0.52347654,0.0017257857,-20.72346,-2.4113681,-70.86275,89.43725,-29.48811,-34.611397,131.60616,-85.23523,103.221596,118.200745,43.683796,-17.962288,12.0,0.037969,46.341465,0.5119048,0.9019274,0.6987952,0.14457831,0.0,0.0,0.0,0.0,24.390244,0.0,2.0,1.0,12.0,4.0,46.42857,1.79616,129.33423,4.4167657,0.02908778,23.530123,-0.17370445,-1074.0398,0.8897695,1.6907412,9.0,46.341465,0.0,-0.06051319,-0.00016017267,15.554026,0.0709722,1.721669,58.0,326.506,2.964144,0.0007920369,0.029809179,0.08773785,0.15448338,0.21761125,0.27533114,0.3262999,0.37054375,0.40916368,1.3764582,1.1568763,0.8365978,0.9948344,1.2424241,1.5008857,1.7317983,1.9419369,2.141429,2.139849,1.376458,1.1564922,0.83198434,0.9827667,1.2232183,1.4754153,1.7007804,1.906257,2.101976,1.8946366,1.3374743,0.6921979,0.9658304,1.4962629,2.1768506,2.8926537,3.6338158,4.4183025,13.0
1,134.0,0.18,134.0,0.80544776,0.0,0.0,0.0,0.0,0.011904762,0.023809524,0.035714287,0.04761905,0.05952381,0.071428575,0.083333336,0.0952381,0.10714286,0.11904762,0.043629035,0.015888808,0.014660969,0.0036763896,0.0030921604,0.0025542264,0.0021010519,0.0017346714,0.0014444056,0.0012234609,0.0010709589,0.0009868765,0.0009680615,0.012716729,0.0010072814,0.0010936646,0.0012137075,0.0013532025,0.0014995454,0.0016426833,0.0017739453,0.0018843652,0.0019648336,0.0020083757,0.010259099,0.0020123578,0.0019784344,0.0019105185,0.001813063,0.0016912563,0.0015523306,0.0014059073,0.00126252,0.0011315575,0.0010204169,0.008019407,0.000935136,0.00088110345,0.00043127013,0.0064349393,0.005531994,0.0050507206,0.0046789404,0.0042289826,1.2195122,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.11164635,0.0,37.115837,0.1115643,0.73684645,0.28918803,0.23219948,0.73684645,0.23219948,0.28918803,0.16185786,0.07061276,0.022994172,0.022994172,0.07061276,0.16185786,-7.8981004,-96.02685,134.58961,56.03998,58.5338,-99.73118,76.58217,-42.187035,108.5166,3.8282173,129.37306,38.161633,9.0,0.015269914,42.682926,0.21428572,0.41326532,0.26506025,0.0,0.0,0.0,0.0,0.0,17.073172,0.0,1.0,0.0,9.0,2.0,1.1904762,1.2630273,100.834656,6.1454663,0.014133846,19.091871,-0.0303987,-2438.557,0.9257457,1.9937117,0.0,42.682926,1.2195122,0.373487,-0.0006438093,13.436681,0.00047927687,1.2447168,22.0,161.44579,1.5493197,0.025631359,0.13466428,0.178477,0.18869187,0.18655457,0.18026005,0.1728599,0.16548914,0.15859056,1.1749568,1.4368155,1.617105,1.6805494,1.6909351,1.6811764,1.6646613,1.6466826,1.6292897,2.1475224,1.1746773,1.430491,1.6072258,1.6699227,1.6806127,1.6714846,1.655662,1.6383457,1.621553,1.3798666,2.0463045,2.5831745,2.7886417,2.8244588,2.7938604,2.7412167,2.684177,2.629434,4.0
2,85.0,0.11,85.0,0.7790588,0.0,0.0,0.0,0.0,0.011904762,0.023809524,0.035714287,0.04761905,0.05952381,0.071428575,0.083333336,0.0952381,0.10714286,0.11904762,0.029118657,0.0008063474,0.019961495,0.009782154,0.008957924,0.008190526,0.0074507436,0.006726706,0.006045181,0.0054434584,0.0049421554,0.004544589,0.00425097,0.017590424,0.0040671616,0.004002217,0.0040615723,0.0042433594,0.00453993,0.0049420744,0.0054417634,0.0060308482,0.006697465,0.007424708,0.014933189,0.008193607,0.008987048,0.009789976,0.010586128,0.011356215,0.012080501,0.012742746,0.01333062,0.013832596,0.014236062,0.01299916,0.014529619,0.014706682,0.007382827,0.012109154,0.0118993735,0.011772134,0.011353697,0.010630458,1.2195122,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.06767449,0.0,71.58521,2.0817698e-10,3.603484e-05,0.00010638488,0.22222222,3.603484e-05,0.22222222,0.00010638488,0.024691338,0.0006092371,0.0036578875,0.0036578875,0.0006092371,0.024691338,-56.948074,-2.6655872,123.02696,125.90104,-27.75464,-8.910318,25.06939,50.54637,67.87275,89.69248,105.19051,117.32942,9.0,0.007601844,48.780487,0.13095239,0.25566894,0.26506025,0.0,0.0,0.0,0.0,0.0,24.390244,0.0,1.0,0.0,9.0,2.0,45.238094,1.0059347,101.58291,8.447122,0.008049003,24.873615,-0.012212056,-231.0,0.9813738,1.6440674,0.0,48.780487,1.2195122,0.016242303,-1.3772164e-05,15.715831,0.00027193816,0.99737465,22.0,102.40964,0.9947562,1.7398293e-06,0.014142868,0.072380625,0.12239457,0.15076335,0.16434407,0.16956386,0.17026757,0.1685967,0.85703284,1.0150853,1.0573704,1.062329,1.0752319,1.0849643,1.0877509,1.0849944,1.0787959,2.1627889,0.85703284,1.0149868,1.0548902,1.0552547,1.0646098,1.0724452,1.0744534,1.0715511,1.0655402,0.7345053,1.0301982,1.1127932,1.1135626,1.133394,1.1501386,1.15445,1.1482219,1.1353759,4.0
3,43.0,0.17,43.0,0.6802326,0.0,0.0,0.0,0.0,0.011904762,0.023809524,0.035714287,0.04761905,0.05952381,0.071428575,0.083333336,0.0952381,0.10714286,0.11904762,0.097051345,0.00021115982,0.048534937,0.0048694815,0.009130514,0.011078524,0.0085718455,0.004878419,0.002932163,0.002958186,0.0050832285,0.009151463,0.012680075,0.024229864,0.014165868,0.015931254,0.019287212,0.020369872,0.01583696,0.008932812,0.0044852584,0.002402968,0.0006546994,8.704569e-05,0.026878778,0.0019469659,0.0043142173,0.0050403983,0.0051068217,0.0060611423,0.006949034,0.006150958,0.004108655,0.002410955,0.0018148307,0.02525374,0.0021854371,0.0029921604,0.0017077437,0.0112919975,0.0020470347,5.8002104e-05,0.0011728676,0.0025204893,1.2195122,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,2.0,0.25154108,0.0,13.744326,0.058828656,0.29520473,0.08471737,0.0976221,0.29520473,0.0976221,0.08471737,0.15661034,0.24087986,0.12308019,0.12308019,0.24087986,0.15661034,-37.299084,-66.88795,-64.66664,17.41174,29.473343,84.49542,74.41229,-45.630127,198.55165,151.27176,30.582699,11.544889,4.0,0.07466964,45.121952,0.20238096,0.36621314,0.26506025,0.0,0.0,0.0,0.0,0.0,20.731707,0.0,1.0,1.0,4.0,2.0,39.285713,0.7154752,97.45643,3.694034,0.008939962,20.643684,-0.1629844,-1007.5194,0.87777084,1.8805512,8.0,45.121952,0.0,0.21975222,-0.0004747081,14.853781,0.06754874,0.6862556,22.0,51.807228,0.4709467,0.0147680035,0.033776615,0.034709055,0.032702304,0.032332797,0.03836007,0.053937245,0.07889326,0.11070546,0.69311947,0.61707187,0.67840123,0.85772204,0.9635864,0.9876814,0.9793553,0.9768122,0.9932073,2.1645448,0.69296217,0.6161468,0.67751276,0.8570984,0.9630438,0.9869362,0.9778689,0.973621,0.9870183,0.48019654,0.37963685,0.45902354,0.7346177,0.92745334,0.9740431,0.95622754,0.9479379,0.974205,8.0
4,124012490.0,418.095,124012490.0,0.78282285,16.0,67.0,0.0,829.0,0.011904762,0.023809524,0.035714287,0.04761905,0.05952381,0.071428575,0.083333336,0.0952381,0.10714286,0.11904762,0.51007843,19345.586,221477.62,2787.4346,1744.0012,1609.7324,1927.2113,2318.886,2903.9329,3594.101,3834.6128,3139.3147,2221.7522,96106.734,1976.891,2584.4045,3546.5771,4083.6497,3764.7722,2846.9734,1996.4128,1334.364,834.78174,1194.7495,25489.918,3004.9539,4959.26,5258.556,3751.0386,1790.0134,383.15274,18.63881,324.70847,558.5024,541.039,5482.8804,524.7238,557.3195,286.6276,2101.4624,2491.166,3829.1477,4645.6475,4237.4663,1.2195122,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,2.0,0.5667779,307.5,4.492703,0.06534173,0.5414525,0.4622231,0.88028413,0.5414525,0.88028413,0.4622231,0.010363784,0.18468228,0.0018398119,0.0018398119,0.18468228,0.010363784,-37.96651,-28.946877,42.111946,-103.67435,18.160172,78.72207,149.30545,-158.95546,109.53756,232.62445,-141.32057,139.33714,4603.0,0.0996985,46.341465,523.5357,768.38947,224.18073,52.228916,0.0,0.0,1.0,0.0,7.3170733,0.0,14.0,2.0,4603.0,18.0,2.3809524,1215.047,18648.055,2.3220747,30.454865,14.494681,-0.3911674,-2983243.5,0.611548,2.392047,4.0,46.341465,0.0,0.92161393,-0.0011447655,15.788879,0.01341825,1096.4714,18607.0,149412640.0,1202249.5,30.255436,106.22982,184.04295,252.62497,311.68753,364.4121,411.56366,452.7199,487.6419,409.96155,712.89856,1140.233,1434.7743,1688.3312,1952.2698,2216.3743,2462.321,2679.9458,2.0165555,408.8436,704.93945,1125.282,1412.359,1659.311,1917.9576,2177.827,2420.345,2635.2068,167153.08,496939.62,1266259.5,1994757.9,2753313.2,3678561.2,4742930.0,5858070.0,6944315.0,17.0
5,126.0,0.34,126.0,0.74269843,16.0,67.0,0.0,0.0,0.011904762,0.023809524,0.035714287,0.04761905,0.05952381,0.071428575,0.083333336,0.0952381,0.10714286,0.11904762,0.16071229,0.0066080093,0.18417476,0.0064782593,0.0022840847,0.0001349772,0.00092184945,0.0045751417,0.009295572,0.012683853,0.013508017,0.013229327,0.014068959,0.080927625,0.0149499765,0.012281893,0.0055549135,0.0005042834,0.0049560666,0.020149034,0.03731693,0.044630926,0.037306614,0.020947844,0.020950245,0.006101706,0.00021747453,0.00411978,0.013721564,0.023096677,0.026997166,0.02334174,0.014738141,0.006903846,0.004471616,0.008574379,0.0076535214,0.012622106,0.0074517983,0.008671313,0.011482435,0.016545225,0.017136348,0.012217146,1.2195122,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,4.0,0.3901682,0.0,9.385193,0.05669494,0.40960643,0.4273279,0.17725669,0.40960643,0.17725669,0.4273279,0.21258757,0.23242702,0.221341,0.221341,0.23242702,0.21258757,-61.416115,-28.811302,-97.32048,265.30258,68.2913,-29.666868,83.698105,64.52459,3.268261,-6.401925,199.20435,111.51165,6.0,0.07494006,47.560974,0.42857143,0.71428573,0.5301205,0.04819277,0.0,0.0,0.0,0.0,21.95122,0.0,4.0,1.0,6.0,6.0,45.238094,1.2247449,113.92319,3.0839071,0.0237724,21.862083,-0.24034455,-1261.1354,0.83334625,1.5853217,7.0,47.560974,0.0,0.071080685,-0.00034193907,16.266178,0.0680292,1.1473128,44.0,151.80724,1.3163265,0.024248432,0.057458136,0.096848845,0.14194886,0.18713504,0.23618136,0.2894875,0.3432407,0.39333144,0.9001161,0.7530301,0.91611767,1.0246382,1.0537323,1.1807288,1.4206787,1.6933382,1.9480547,2.1084108,0.8997894,0.7508348,0.91098404,1.0147581,1.0369823,1.156866,1.390872,1.6581857,1.9079328,0.809621,0.5637529,0.8298919,1.029734,1.0753323,1.338339,1.934525,2.7495801,3.6402075,11.0
6,71208.0,10.53,71208.0,0.7570812,16.0,67.0,0.0,17.0,0.011904762,0.023809524,0.035714287,0.04761905,0.05952381,0.071428575,0.083333336,0.0952381,0.10714286,0.11904762,0.3424474,5.2047434,169.27855,1.9570519,2.940111,3.5722113,4.253348,4.098842,2.882892,1.5872787,0.61583835,0.10589633,0.17314592,75.23494,0.6362032,1.233911,2.067158,3.7454727,6.735032,10.375478,12.631238,11.432398,6.885501,2.0304937,25.262901,0.1447787,1.2832549,3.0625253,4.122429,4.7344418,4.8466244,4.018064,2.9243662,2.8873339,4.0393987,9.922318,5.277336,5.842613,2.968092,4.707512,1.2476629,0.25041583,0.46536237,0.7489353,1.2195122,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.59253263,7.0,2.1567197,0.15898666,0.3345408,0.74417806,0.4288353,0.3345408,0.4288353,0.74417806,0.019421613,0.05528043,0.4091853,0.4091853,0.05528043,0.019421613,-70.92878,-10.617945,44.16813,196.97208,31.163599,-81.16304,-77.24667,206.42735,275.42014,15.063288,26.58289,166.45863,95.0,0.11626561,46.341465,12.928572,19.268707,8.481928,0.79518074,0.0,0.0,0.0,0.0,9.756098,0.0,8.0,0.0,95.0,9.0,32.142857,29.115534,760.01776,1.9083601,0.72238535,16.717026,-0.4033462,-59365.92,0.62685937,1.8217307,6.0,46.341465,0.0,0.5926785,-0.00090259657,16.575705,0.023356022,26.087666,704.0,85792.77,680.56635,0.6062774,2.0922358,3.7902465,5.4754944,7.219138,8.95703,10.564317,11.963912,13.137033,12.56183,15.527978,20.092386,25.935045,34.643547,43.900066,52.249634,59.377514,65.36562,2.022241,12.547191,15.386378,19.73165,25.350454,33.883026,42.97659,51.170494,58.159725,64.03189,157.43199,236.74063,389.338,642.64557,1148.0594,1846.9873,2618.4194,3382.554,4100.083,11.0
7,12.0,0.06,12.0,0.75166667,0.0,0.0,0.0,0.0,0.011904762,0.023809524,0.035714287,0.04761905,0.05952381,0.071428575,0.083333336,0.0952381,0.10714286,0.11904762,0.049250953,2.163867e-07,0.008875097,0.0026741354,0.0033427072,0.0036605126,0.0035652646,0.0031367564,0.0025378827,0.0019247888,0.0014148308,0.0010812726,0.0009447356,0.006268588,0.0009769583,0.0011169948,0.0012883283,0.0014158429,0.001439757,0.0013269953,0.0010875092,0.0007887291,0.0005515428,0.000524714,0.0037602168,0.00084303354,0.0015755027,0.0026812986,0.0039953385,0.0052521806,0.0061478037,0.0064297495,0.0059853205,0.0048910254,0.0034066134,0.0020821714,0.0019147262,0.00081658585,0.00020672347,0.001052228,0.0004720311,0.00044047865,0.0009688888,0.0018113719,1.2195122,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,3.0,0.13459183,0.0,44.54595,1.8830575e-05,0.041905507,0.06633597,0.34510985,0.041905507,0.34510985,0.06633597,0.076677874,0.21157137,0.29171672,0.29171672,0.21157137,0.076677874,-60.8022,11.544888,81.78599,37.89266,-77.10168,-26.107456,100.02312,46.159477,270.5726,44.234833,89.03699,95.678764,3.0,0.020222807,47.560974,0.071428575,0.13605443,0.14457831,0.0,0.0,0.0,0.0,0.0,23.170732,0.0,2.0,0.0,3.0,4.0,45.238094,0.37796447,89.80984,6.4007473,0.0039890655,24.658264,-0.064637884,-107.37086,0.9242972,1.5533168,3.0,47.560974,1.2195122,-0.00430201,-3.723905e-05,16.375814,0.009411788,0.37115374,12.0,14.457831,0.1377551,9.4899775e-07,0.0018545502,0.015599294,0.036138512,0.054878302,0.07054836,0.08310979,0.09267894,0.09962715,0.29352644,0.3561523,0.3060745,0.3225413,0.3775368,0.42804644,0.46666738,0.49513313,0.51585597,2.1330984,0.29352644,0.35614747,0.30567673,0.32051036,0.37352696,0.4221927,0.45920718,0.48638198,0.50614405,0.08615777,0.12684102,0.09343827,0.1027269,0.1395224,0.17824668,0.21087122,0.23656742,0.2561818,8.0
8,369627.0,16.855,369627.0,0.79623795,16.0,67.0,0.0,0.0,0.011904762,0.023809524,0.035714287,0.04761905,0.05952381,0.071428575,0.083333336,0.0952381,0.10714286,0.11904762,0.23563756,65.06415,317.54514,14.704557,12.658121,9.027177,4.480759,1.553931,0.38683432,0.43199283,0.8668666,1.0787859,1.3053898,194.9543,1.0197746,0.547528,0.47560433,2.1336527,5.391538,8.569679,9.1398325,6.4917893,4.282745,3.7495313,93.25748,4.9064894,7.335865,9.450488,11.176669,14.111291,17.223888,21.702818,26.036758,27.551218,26.225183,38.509674,19.193798,11.179065,3.8516586,18.282745,13.194608,13.656716,15.497475,16.097034,1.2195122,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,2.0,0.37608945,0.0,8.708827,0.13723572,0.016754929,0.65937215,0.88037986,0.016754929,0.88037986,0.65937215,0.11727884,0.09823825,0.093873985,0.093873985,0.09823825,0.11727884,-65.606834,-26.512568,-46.578285,-97.05275,12.199094,9.113542,0.36477605,323.97293,73.05655,291.13794,51.743515,32.94152,303.0,0.049912896,48.780487,21.869047,36.802437,17.819277,3.6506023,0.0,0.0,0.0,0.0,10.97561,0.0,6.0,1.0,303.0,10.0,3.5714285,66.334915,1540.1619,3.1114035,1.3535182,19.594175,-0.21885054,-97778.734,0.7390325,1.5064635,5.0,48.780487,0.0,0.39398775,-0.0005890733,17.958994,0.013248241,62.6264,1479.0,445333.75,3922.0662,0.7753999,5.226916,9.645272,12.986126,15.382204,17.140278,18.42267,19.326056,19.932005,21.222689,41.241013,67.898315,86.66212,101.47507,113.740715,123.64822,131.41757,137.39514,2.0414238,21.208519,40.90844,67.20975,85.683624,100.30243,112.44182,122.26809,129.98877,135.94168,449.80127,1673.5005,4517.15,7341.6836,10060.577,12643.162,14949.486,16897.08,18480.14,17.0
9,336790.0,18.56,336790.0,0.79729354,16.0,67.0,0.0,14.0,0.011904762,0.023809524,0.035714287,0.04761905,0.05952381,0.071428575,0.083333336,0.0952381,0.10714286,0.11904762,0.3668613,74.22907,340.02667,6.1410666,4.1232386,4.3850694,5.137187,5.567021,5.712985,5.33328,4.368059,3.839553,4.2375064,179.69081,4.8075,5.240697,6.058859,7.3098774,8.090926,7.5776086,5.7011476,3.0431445,0.8765547,0.115926296,69.11627,0.10750572,0.19888607,0.79487467,2.2026806,4.3162723,6.0435147,5.9668303,4.380477,2.247187,0.74898714,26.080713,1.1514235,2.4669192,1.5113837,18.017317,20.550776,21.594807,17.718246,11.389261,1.2195122,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,3.0,0.4435658,3.0,9.151722,0.03746627,0.73097813,0.5365502,0.41291842,0.73097813,0.41291842,0.5365502,0.0053106733,0.041395526,0.21882683,0.21882683,0.041395526,0.0053106733,-51.65609,25.429493,-1.6934608,168.57848,29.578989,141.92221,168.42032,44.080242,-7.7619357,-293.3113,-102.67552,49.58226,308.0,0.061377518,43.90244,23.238094,36.081635,13.180723,2.313253,0.0,0.0,0.0,0.0,7.3170733,0.0,11.0,0.0,308.0,13.0,1.1904762,63.319862,1148.2356,3.0557742,1.4262832,14.535894,-0.26497504,-165657.98,0.67978436,2.4719262,3.0,43.90244,0.0,0.9014764,-0.0011402746,14.768392,0.0070937127,58.901577,1094.0,405771.1,3469.3958,2.598059,6.179761,9.859696,12.964441,15.272243,17.004997,18.3482,19.393122,20.191397,27.125256,43.947044,69.495766,88.98817,101.93381,112.271614,121.39246,129.38332,136.15923,2.047402,27.00055,43.51038,68.792786,88.03872,100.78323,110.97633,119.9978,127.92166,134.65378,729.0296,1893.1532,4732.4473,7750.817,10157.261,12315.746,14399.474,16363.95,18131.64,11.0
