Name,Strategy,Num dim,RMSE,MAE,Run time (extr),Run time (tsf),Num features,Time/feature,Run time (classif),Total time
AustraliaRainfall,tsfel,3,8.451207781098006,2.7886956385641373,0.0,0.0,72.0,0.0,0.7353208065032959,0.7353208065032959
Covid3Month,tsfel,1,2813124187.2528315,535282665.0605535,0.0,0.0,84.0,0.0,0.0018329620361328125,0.0018329620361328125
LiveFuelMoistureContent,tsfel,7,959.0610890166525,236.18866848539162,0.0,0.0,2555.0,0.0,10.325546741485596,10.325546741485596
FloodModeling1,tsfel,1,889037825283.7072,67829893121.53577,0.0,0.0,266.0,0.0,0.013208389282226562,0.013208389282226562
FloodModeling2,tsfel,1,0.03664675343520165,0.01004555699282467,0.0,0.0,266.0,0.0,0.013471126556396484,0.013471126556396484
FloodModeling3,tsfel,1,0.5382381467287892,0.09749119284836008,0.0,0.0,266.0,0.0,0.012813091278076172,0.012813091278076172
AppliancesEnergy,tsfel,24,3.569211712287653,2.963168535023493,0.0,0.0,3456.0,0.0,0.014549732208251953,0.014549732208251953
NewsHeadlineSentiment,tsfel,3,0.14373516714326312,0.10984276040240551,0.0,0.0,432.0,0.0,2.515805959701538,2.515805959701538
NewsTitleSentiment,tsfel,3,0.13978023325051883,0.0987419540642358,0.0,0.0,432.0,0.0,2.1421711444854736,2.1421711444854736
BIDMC32RR,tsfel,2,18.00745864236343,12.939650837587989,0.0,0.0,8000.0,0.0,114.52293801307678,114.52293801307678
BIDMC32HR,tsfel,2,68.55477961420699,49.71848542402259,0.0,0.0,8000.0,0.0,113.00618481636047,113.00618481636047
BIDMC32SpO2,tsfel,2,17.106598578552212,12.08251254268115,0.0,0.0,8000.0,0.0,111.42155718803406,111.42155718803406
IEEEPPG,tsfel,5,159.073415745447,107.82707645953155,0.0,0.0,5000.0,0.0,3.399585485458374,3.399585485458374
