Name,Strategy,Num dim,RMSE,MAE,Run time (extr),Run time (tsf),Num features,Time/feature,Run time (classif),Total time
AustraliaRainfall,tsfel,3,8.448165118727902,2.7824451043022127,0.0,0.0,72.0,0.0,0.8205592632293701,0.8205592632293701
Covid3Month,tsfel,1,0.04611184917752373,0.034555262985401694,0.0,0.0,84.0,0.0,0.002423524856567383,0.002423524856567383
LiveFuelMoistureContent,tsfel,7,77.25127220027925,48.27295977694259,0.0,0.0,2555.0,0.0,14.013813257217407,14.013813257217407
FloodModeling1,tsfel,1,0.04490823223378333,0.018854047849460112,0.0,0.0,266.0,0.0,0.024064064025878906,0.024064064025878906
FloodModeling2,tsfel,1,0.017603164714516385,0.005434375454476964,0.0,0.0,266.0,0.0,0.024002552032470703,0.024002552032470703
FloodModeling3,tsfel,1,0.026929766718274985,0.01857597362216849,0.0,0.0,266.0,0.0,0.022906064987182617,0.022906064987182617
AppliancesEnergy,tsfel,24,3.4991021717369404,2.9214721171140767,0.0,0.0,3456.0,0.0,0.012774944305419922,0.012774944305419922
NewsHeadlineSentiment,tsfel,3,0.14373413932799162,0.10984225293432248,0.0,0.0,432.0,0.0,4.389549732208252,4.389549732208252
NewsTitleSentiment,tsfel,3,0.13977898455809218,0.09874130967986922,0.0,0.0,432.0,0.0,4.4873433113098145,4.4873433113098145
BIDMC32RR,tsfel,2,5.406731819561906,4.015154036729582,0.0,0.0,8000.0,0.0,39.34624481201172,39.34624481201172
BIDMC32HR,tsfel,2,24.52061454919182,18.350537376684493,0.0,0.0,8000.0,0.0,38.05877351760864,38.05877351760864
BIDMC32SpO2,tsfel,2,6.134447914429543,4.512991658452531,0.0,0.0,8000.0,0.0,38.34371209144592,38.34371209144592
IEEEPPG,tsfel,5,79.57548207326263,56.716017024837996,0.0,0.0,5000.0,0.0,1.6242482662200928,1.6242482662200928
