Name,Strategy,Num dim,RMSE,MAE,Run time (extr),Run time (tsf),Num features,Time/feature,Run time (classif),Total time
AustraliaRainfall,tsfel,3,8.6631441116333,2.8155598640441895,0.0,0.0,72.0,0.0,0.0004928112030029297,0.0004928112030029297
HouseholdPowerConsumption1,tsfel,5,521.1155395507812,404.9826965332031,0.0,0.0,7200.0,0.0,0.0006937980651855469,0.0006937980651855469
HouseholdPowerConsumption2,tsfel,5,55.72433090209961,40.33937072753906,0.0,0.0,7200.0,0.0,0.0008604526519775391,0.0008604526519775391
BeijingPM25Quality,tsfel,9,112.90727996826172,82.41793060302734,0.0,0.0,216.0,0.0,0.0003120899200439453,0.0003120899200439453
BeijingPM10Quality,tsfel,9,136.3853759765625,100.47341918945312,0.0,0.0,216.0,0.0,0.0005118846893310547,0.0005118846893310547
Covid3Month,tsfel,1,0.04471992701292038,0.03383985534310341,0.0,0.0,84.0,0.0,0.0005300045013427734,0.0005300045013427734
LiveFuelMoistureContent,tsfel,7,41.134639739990234,31.248083114624023,0.0,0.0,2555.0,0.0,0.0004150867462158203,0.0004150867462158203
FloodModeling1,tsfel,1,0.01886332966387272,0.014414040371775627,0.0,0.0,266.0,0.0,0.00032019615173339844,0.00032019615173339844
FloodModeling2,tsfel,1,0.018547993153333664,0.004524612333625555,0.0,0.0,266.0,0.0,0.00025534629821777344,0.00025534629821777344
FloodModeling3,tsfel,1,0.022793730720877647,0.016414066776633263,0.0,0.0,266.0,0.0,0.00026726722717285156,0.00026726722717285156
AppliancesEnergy,tsfel,24,3.454899311065674,2.787015199661255,0.0,0.0,3456.0,0.0,0.000476837158203125,0.000476837158203125
BenzeneConcentration,tsfel,8,8.015239715576172,6.2129411697387695,0.0,0.0,1920.0,0.0,0.00040602684020996094,0.00040602684020996094
NewsHeadlineSentiment,tsfel,3,0.1422484666109085,0.1089707612991333,0.0,0.0,432.0,0.0,0.00041413307189941406,0.00041413307189941406
NewsTitleSentiment,tsfel,3,0.13810528814792633,0.09771041572093964,0.0,0.0,432.0,0.0,0.00041985511779785156,0.00041985511779785156
BIDMC32RR,tsfel,2,3.4967525005340576,2.660461664199829,0.0,0.0,8000.0,0.0,0.001699686050415039,0.001699686050415039
BIDMC32HR,tsfel,2,14.110198974609375,10.436650276184082,0.0,0.0,8000.0,0.0,0.0008897781372070312,0.0008897781372070312
BIDMC32SpO2,tsfel,2,4.802914142608643,3.495105743408203,0.0,0.0,8000.0,0.0,0.0009577274322509766,0.0009577274322509766
IEEEPPG,tsfel,5,37.264095306396484,29.292964935302734,0.0,0.0,5000.0,0.0,0.0007538795471191406,0.0007538795471191406
AcousticContaminationMadrid-no-missing,tsfel,1,6.49100399017334,5.139105796813965,0.0,0.0,365.0,0.0,0.0002715587615966797,0.0002715587615966797
AluminiumConcentration,tsfel,1,473.9932556152344,369.53704833984375,0.0,0.0,2542.0,0.0,0.00043201446533203125,0.00043201446533203125
BarCrawl6min,tsfel,3,0.05594206228852272,0.04420537129044533,0.0,0.0,1080.0,0.0,0.00031948089599609375,0.00031948089599609375
BeijingIntAirportPM25Quality,tsfel,6,75.23966217041016,57.07549285888672,0.0,0.0,144.0,0.0,0.0004420280456542969,0.0004420280456542969
BinanceCoinSentiment,tsfel,2,0.3630096912384033,0.28236398100852966,0.0,0.0,48.0,0.0,0.00024628639221191406,0.00024628639221191406
BitcoinSentiment,tsfel,2,0.27365443110466003,0.2137787640094757,0.0,0.0,48.0,0.0,0.00022268295288085938,0.00022268295288085938
BoronConcentration,tsfel,1,0.9232088923454285,0.48032671213150024,0.0,0.0,2542.0,0.0,0.0004017353057861328,0.0004017353057861328
CalciumConcentration,tsfel,1,3504.2744140625,1842.02783203125,0.0,0.0,2307.0,0.0,0.00046706199645996094,0.00046706199645996094
