Name,Strategy,Num dim,RMSE,MAE,Run time (extr),Run time (tsf),Num features,Time/feature,Run time (classif),Total time
AcousticContaminationMadrid-no-missing,intervals_c22,1,5.02891206741333,3.8019726276397705,14.144768714904785,5.448442459106445,990.0,0.01428764516657049,0.05108189582824707,19.644293069839478
AluminiumConcentration,intervals_c22,1,465.489501953125,363.3587646484375,12.550194501876831,5.828935384750366,990.0,0.01267696414330993,0.05683612823486328,18.43596601486206
BeijingIntAirportPM25Quality,intervals_c22,6,183287.359375,26395.673828125,137.27383613586426,61.946388483047485,990.0,0.13866044054127702,0.13416051864624023,199.35438513755798
BinanceCoinSentiment,intervals_c22,2,0.5012862682342529,0.35977187752723694,2964.1100645065308,1014.7980234622955,990.0,2.994050570208617,0.019837141036987305,3978.9279251098633
BitcoinSentiment,intervals_c22,2,0.32903409004211426,0.2635817527770996,2006.18488073349,916.4579796791077,990.0,2.026449374478273,0.0389096736907959,2922.6817700862885
BoronConcentration,intervals_c22,1,3.4786157608032227,2.3031444549560547,12.149637222290039,5.641839027404785,990.0,0.012272360830596,0.09657001495361328,17.888046264648438
CalciumConcentration,intervals_c22,1,5347.8759765625,3999.884765625,10.89140796661377,5.105057239532471,990.0,0.011001422188498757,0.06049823760986328,16.056963443756104
CardanoSentiment,intervals_c22,2,0.3737107515335083,0.2645587921142578,758.4182698726654,440.07457733154297,990.0,0.7660790604774398,0.005301237106323242,1198.4981484413147
ChilledWaterPredictor,intervals_c22,4,824071.8125,646384.9375,24.71649718284607,10.808281421661377,990.0,0.024966158770551587,0.05800175666809082,35.58278036117554
CopperConcentration,intervals_c22,1,3.3105502128601074,2.365905523300171,12.238562822341919,5.601471424102783,990.0,0.012362184669032241,0.0933680534362793,17.93340229988098
Covid19Andalusia,intervals_c22,1,0.016718130558729172,0.01124997716397047,10.632674217224121,4.95415997505188,990.0,0.010740074966893052,0.01145029067993164,15.598284482955933
DailyOilGasPrices,intervals_c22,2,2.8211514949798584,2.2561604976654053,7317.990325212479,3356.5971915721893,990.0,7.391909419406544,0.03346657752990723,10674.620983362198
DailyTemperatureLatitude,intervals_c22,1,13.419456481933594,4.376911163330078,860.6769433021545,362.4082567691803,990.0,0.8693706498001561,1.3232390880584717,1224.4084391593933
DhakaHourlyAirQuality,intervals_c22,1,15.048776626586914,10.594587326049805,80.15698766708374,35.21353578567505,990.0,0.0809666542091755,0.1505427360534668,115.52106618881226
ElectricityPredictor,intervals_c22,4,11324520.0,8067181.5,41.67958617210388,19.516116619110107,990.0,0.042100592093034225,0.21896839141845703,61.414671182632446
ElectricMotorTemperature,intervals_c22,6,10.653426170349121,8.001980781555176,565.6410160064697,235.98169088363647,990.0,0.5713545616226967,0.7265856266021729,802.3492925167084
EthereumSentiment,intervals_c22,2,0.4447517991065979,0.32190975546836853,233.647611618042,100.4133129119873,990.0,0.23600768850307272,0.0740206241607666,334.13494515419006
GasSensorArrayAcetone,intervals_c22,1,0.5168989300727844,0.3201713562011719,13.11771035194397,5.910364389419556,990.0,0.013250212476711081,0.14480853080749512,19.17288327217102
GasSensorArrayEthanol,intervals_c22,1,1.0013083219528198,0.3475741446018219,13.029027938842773,6.091697454452515,990.0,0.013160634281659367,0.04633927345275879,19.167064666748047
HotwaterPredictor,intervals_c22,4,33079786.0,22470044.0,20.027825355529785,8.96429705619812,990.0,0.02023012662174726,0.09146642684936523,29.08358883857727
IronConcentration,intervals_c22,1,135.96775817871094,91.40359497070312,10.878612279891968,6.1098926067352295,990.0,0.01098849725241613,0.12016487121582031,17.108669757843018
LPGasMonitoringHomeActivity,intervals_c22,1,368.19586181640625,15.23305606842041,79.24742674827576,34.99919009208679,990.0,0.08004790580633915,0.17248034477233887,114.41909718513489
MadridPM10Quality-no-missing,intervals_c22,3,9.128827095031738,6.949334621429443,157.23888421058655,71.5010712146759,990.0,0.15882715576826925,0.2598230838775635,228.99977850914001
MagnesiumConcentration,intervals_c22,1,81797.3828125,5275.2060546875,45.81912875175476,20.401365041732788,990.0,0.04628194823409572,0.1506633758544922,66.37115716934204
ManganeseConcentration,intervals_c22,1,248.0325164794922,138.83250427246094,10.726052284240723,6.182493686676025,990.0,0.010834396246707801,0.1115727424621582,17.020118713378906
MethaneMonitoringHomeActivity,intervals_c22,1,2266.3974609375,121.91097259521484,50.2219660282135,22.459771633148193,990.0,0.05072925861435707,0.1703951358795166,72.85213279724121
MetroInterstateTrafficVolume,intervals_c22,4,9032664.0,681363.3125,38.056358337402344,17.688772439956665,990.0,0.03844076599737611,0.16334056854248047,55.90847134590149
NaturalGasPricesSentiment,intervals_c22,1,48.26045608520508,9.180322647094727,2.4350790977478027,1.308133602142334,990.0,0.0024596758563109116,0.004767179489135742,3.7479798793792725
OccupancyDetectionLight,intervals_c22,3,508.4042053222656,185.7427978515625,33.68833827972412,16.175931453704834,990.0,0.034028624524973856,0.047025203704833984,49.91129493713379
ParkingBirmingham-equal-length,intervals_c22,1,0.9054796099662781,0.21824848651885986,414.1692678928375,153.7471354007721,990.0,0.41835279585135104,0.12921643257141113,568.045619726181
PhosphorusConcentration,intervals_c22,1,7758.208984375,444.4820251464844,46.392685651779175,20.57074785232544,990.0,0.046861298638160784,0.15684986114501953,67.12028336524963
PotassiumConcentration,intervals_c22,1,34554.921875,2750.32861328125,46.002622842788696,20.368688344955444,990.0,0.046467295800796664,0.1593008041381836,66.53061199188232
PrecipitationAndalusia-no-missing,intervals_c22,4,0.5802794098854065,0.4430151879787445,31.621089935302734,14.063015699386597,990.0,0.031940494884144174,0.15688300132751465,45.840988636016846
SierraNevadaMountainsSnow,intervals_c22,3,59.49055862426758,44.8245849609375,7.800971746444702,3.950148105621338,990.0,0.007879769440853234,0.05490875244140625,11.806028604507446
SodiumConcentration,intervals_c22,1,1468.473876953125,875.082763671875,10.747675895690918,6.055246353149414,990.0,0.010856238278475676,0.054885149002075195,16.857807397842407
SolarRadiationAndalusia-no-missing,intervals_c22,2,0.9593698978424072,0.7835380434989929,22.877341747283936,10.04611349105835,990.0,0.023108426007357512,0.09562921524047852,33.019084453582764
SteamPredictor,intervals_c22,4,40224.015625,24805.96484375,16.05671525001526,7.355639934539795,990.0,0.016218904292944706,0.02146458625793457,23.43381977081299
SulphurConcentration,intervals_c22,1,473.1500244140625,276.15301513671875,10.90074634552002,4.960247993469238,990.0,0.011010854894464666,0.07283687591552734,15.933831214904785
VentilatorPressure,intervals_c22,2,1.557291030883789,1.2122786045074463,747.4225091934204,323.80416321754456,990.0,0.7549722315085055,2.5456736087799072,1073.7723460197449
WaveDataTension,intervals_c22,1,55.66898727416992,19.290517807006836,19.05672812461853,9.81059741973877,990.0,0.019249220327897505,0.1426095962524414,29.00993514060974
WindTurbinePower,intervals_c22,1,1511.738525390625,823.1893310546875,1821.0439767837524,660.489221572876,990.0,1.8394383603876288,0.11254215240478516,2481.645740509033
ZincConcentration,intervals_c22,1,3.477330446243286,2.1545238494873047,10.98459792137146,5.090867042541504,990.0,0.011095553455930768,0.10617804527282715,16.18164300918579
