Name,Strategy,Num dim,RMSE,MAE,Run time (extr),Run time (tsf),Num features,Time/feature,Run time (classif),Total time
AcousticContaminationMadrid-no-missing,rocket,1,5.477061202531591,3.951389206780328,0.0,0.0,1000.0,0.0,0.07210779190063477,0.07210779190063477
AcousticContaminationMadrid-no-missing,multirocket,1,6.733663249982807,5.208332909478082,0.0,0.0,1008.0,0.0,0.04370474815368652,0.04370474815368652
AcousticContaminationMadrid-no-missing,tsfel,1,4.630440265696214,3.5430562761094837,0.0,0.0,316.0,0.0,0.02126145362854004,0.02126145362854004
AcousticContaminationMadrid-no-missing,catch22,1,6.425697102149473,4.8375001483493385,0.0,0.0,22.0,0.0,0.002134561538696289,0.002134561538696289
AcousticContaminationMadrid-no-missing,tsfeatures,1,7.089899233299913,5.386111365424262,0.0,0.0,37.0,0.0,0.00289154052734375,0.00289154052734375
AcousticContaminationMadrid-no-missing,signature,1,7.645895921830878,6.172222137451172,0.0,0.0,42.0,0.0,0.003386259078979492,0.003386259078979492
AcousticContaminationMadrid-no-missing,intervals_c22,1,6.814659227543708,5.268055280049642,0.0,0.0,990.0,0.0,0.056761980056762695,0.056761980056762695
AluminiumConcentration,rocket,1,395.6592311826825,283.0170775216723,0.0,0.0,1000.0,0.0,0.2236945629119873,0.2236945629119873
AluminiumConcentration,multirocket,1,504.38992008718685,363.64468269247226,0.0,0.0,1008.0,0.0,0.15333199501037598,0.15333199501037598
AluminiumConcentration,tsfel,1,468.1336916087967,333.2470323673632,0.0,0.0,389.0,0.0,0.08111166954040527,0.08111166954040527
AluminiumConcentration,catch22,1,453.8830607258802,332.5445803284014,0.0,0.0,22.0,0.0,0.005178689956665039,0.005178689956665039
AluminiumConcentration,tsfeatures,1,464.2796775243727,329.9803271924377,0.0,0.0,37.0,0.0,0.007528066635131836,0.007528066635131836
AluminiumConcentration,signature,1,390.59599088505274,282.8748868911985,0.0,0.0,42.0,0.0,0.00819087028503418,0.00819087028503418
AluminiumConcentration,intervals_c22,1,334.1418408822166,229.56385548909506,0.0,0.0,990.0,0.0,0.14435267448425293,0.14435267448425293
BeijingIntAirportPM25Quality,rocket,6,83.45300833882688,59.789783413464065,0.0,0.0,1000.0,0.0,0.6267735958099365,0.6267735958099365
BeijingIntAirportPM25Quality,multirocket,6,83.94843630167654,57.5998409380347,0.0,0.0,1008.0,0.0,0.27324724197387695,0.27324724197387695
BeijingIntAirportPM25Quality,tsfel,6,79.6660425543206,57.395568589032706,0.0,0.0,876.0,0.0,0.449432373046875,0.449432373046875
BeijingIntAirportPM25Quality,catch22,6,88.1398755640052,61.36952697624594,0.0,0.0,132.0,0.0,0.04970264434814453,0.04970264434814453
BeijingIntAirportPM25Quality,tsfeatures,6,98.65405886262623,71.0006179365061,0.0,0.0,222.0,0.0,0.08373379707336426,0.08373379707336426
BeijingIntAirportPM25Quality,signature,6,79.53609412378744,54.88788850630744,0.0,0.0,392.0,0.0,0.1536247730255127,0.1536247730255127
BeijingIntAirportPM25Quality,intervals_c22,6,77.60729474551647,53.54519799452717,0.0,0.0,990.0,0.0,0.22027158737182617,0.22027158737182617
BinanceCoinSentiment,rocket,2,0.5101445574742394,0.4039734155411207,0.0,0.0,1000.0,0.0,0.08605551719665527,0.08605551719665527
BinanceCoinSentiment,multirocket,2,0.4683583194289699,0.37292025275999985,0.0,0.0,1008.0,0.0,0.04569888114929199,0.04569888114929199
BinanceCoinSentiment,tsfel,2,0.4892030672320219,0.3418974709237301,0.0,0.0,292.0,0.0,0.024526357650756836,0.024526357650756836
BinanceCoinSentiment,catch22,2,0.5112548943335211,0.36616076130561437,0.0,0.0,44.0,0.0,0.0030333995819091797,0.0030333995819091797
BinanceCoinSentiment,tsfeatures,2,0.533278549631519,0.42605569751202305,0.0,0.0,74.0,0.0,0.00480961799621582,0.00480961799621582
BinanceCoinSentiment,signature,2,0.4265031660107132,0.3341531654513335,0.0,0.0,84.0,0.0,0.0066089630126953125,0.0066089630126953125
BinanceCoinSentiment,intervals_c22,2,0.46900284549175936,0.3933708841051859,0.0,0.0,990.0,0.0,0.039629220962524414,0.039629220962524414
BitcoinSentiment,rocket,2,0.36028102680414825,0.27631000033346936,0.0,0.0,1000.0,0.0,0.1043386459350586,0.1043386459350586
BitcoinSentiment,multirocket,2,0.2633896978318209,0.18468599910265765,0.0,0.0,1008.0,0.0,0.06635832786560059,0.06635832786560059
BitcoinSentiment,tsfel,2,0.2940873871553583,0.20845900077256374,0.0,0.0,292.0,0.0,0.032176971435546875,0.032176971435546875
BitcoinSentiment,catch22,2,0.2775084859300242,0.1881050013191998,0.0,0.0,44.0,0.0,0.004504680633544922,0.004504680633544922
BitcoinSentiment,tsfeatures,2,0.37771017416805563,0.28783299976610577,0.0,0.0,74.0,0.0,0.006302356719970703,0.006302356719970703
BitcoinSentiment,signature,2,0.2780160952698077,0.2014899987343233,0.0,0.0,84.0,0.0,0.00998067855834961,0.00998067855834961
BitcoinSentiment,intervals_c22,2,0.30441421535880925,0.21948599981027656,0.0,0.0,990.0,0.0,0.06162405014038086,0.06162405014038086
BoronConcentration,rocket,1,0.8288657355477214,0.35420000144067476,0.0,0.0,1000.0,0.0,0.37548327445983887,0.37548327445983887
BoronConcentration,multirocket,1,1.6122422573199275,0.4963085086925817,0.0,0.0,1008.0,0.0,0.3232991695404053,0.3232991695404053
BoronConcentration,tsfel,1,4.473128258032611,0.8970265948793237,0.0,0.0,389.0,0.0,0.16309452056884766,0.16309452056884766
BoronConcentration,catch22,1,4.091541981942026,0.7142398950768922,0.0,0.0,22.0,0.0,0.005440950393676758,0.005440950393676758
BoronConcentration,tsfeatures,1,1.1432016426838436,0.4470079779089924,0.0,0.0,37.0,0.0,0.009591817855834961,0.009591817855834961
BoronConcentration,signature,1,0.7864911223171681,0.3579813817613808,0.0,0.0,42.0,0.0,0.010974884033203125,0.010974884033203125
BoronConcentration,intervals_c22,1,4.0142725767874525,0.6338382994668171,0.0,0.0,990.0,0.0,0.2337963581085205,0.2337963581085205
CalciumConcentration,rocket,1,2962.7222306935296,1581.8045408409876,0.0,0.0,1000.0,0.0,0.39078235626220703,0.39078235626220703
CalciumConcentration,multirocket,1,2956.7716989108594,1311.9877356755119,0.0,0.0,1008.0,0.0,0.20536565780639648,0.20536565780639648
CalciumConcentration,tsfel,1,3474.9524481013477,1466.6251162055846,0.0,0.0,389.0,0.0,0.1478559970855713,0.1478559970855713
CalciumConcentration,catch22,1,3921.930881252553,1738.9536998879794,0.0,0.0,22.0,0.0,0.005893230438232422,0.005893230438232422
CalciumConcentration,tsfeatures,1,4140.794341202141,2163.83055918341,0.0,0.0,37.0,0.0,0.010086297988891602,0.010086297988891602
CalciumConcentration,signature,1,4409.060645524476,1799.8447476403198,0.0,0.0,42.0,0.0,0.011524438858032227,0.011524438858032227
CalciumConcentration,intervals_c22,1,1863.0087214508565,1045.7883678327628,0.0,0.0,990.0,0.0,0.1970071792602539,0.1970071792602539
CardanoSentiment,rocket,2,0.4020608972538332,0.31321818124728673,0.0,0.0,1000.0,0.0,0.026253223419189453,0.026253223419189453
CardanoSentiment,multirocket,2,0.47807342808187453,0.3776939409982526,0.0,0.0,1008.0,0.0,0.014104366302490234,0.014104366302490234
CardanoSentiment,tsfel,2,0.3649892941730913,0.3046090911057862,0.0,0.0,292.0,0.0,0.005575895309448242,0.005575895309448242
CardanoSentiment,catch22,2,0.4296392039559257,0.3545121172951026,0.0,0.0,44.0,0.0,0.0015125274658203125,0.0015125274658203125
CardanoSentiment,tsfeatures,2,0.4910800762080364,0.38020302823772933,0.0,0.0,74.0,0.0,0.0017004013061523438,0.0017004013061523438
CardanoSentiment,signature,2,0.27712055924528145,0.22936363636770032,0.0,0.0,84.0,0.0,0.0030660629272460938,0.0030660629272460938
CardanoSentiment,intervals_c22,2,0.36994434860154346,0.27628787767819385,0.0,0.0,990.0,0.0,0.011985063552856445,0.011985063552856445
ChilledWaterPredictor,rocket,4,4176.9017380553605,1150.934973901826,0.0,0.0,1000.0,0.0,0.2679922580718994,0.2679922580718994
ChilledWaterPredictor,multirocket,4,3874.735804029427,1057.0636543897317,0.0,0.0,1008.0,0.0,0.13841843605041504,0.13841843605041504
ChilledWaterPredictor,tsfel,4,3020.47669978743,754.4487252505193,0.0,0.0,872.0,0.0,0.24076628684997559,0.24076628684997559
ChilledWaterPredictor,catch22,4,4920.909547213758,1387.2817955050698,0.0,0.0,88.0,0.0,0.018329620361328125,0.018329620361328125
ChilledWaterPredictor,tsfeatures,4,3241.9896810801783,897.324589789845,0.0,0.0,148.0,0.0,0.0381922721862793,0.0381922721862793
ChilledWaterPredictor,signature,4,2818.2424576578014,682.1355204800468,0.0,0.0,210.0,0.0,0.04935288429260254,0.04935288429260254
ChilledWaterPredictor,intervals_c22,4,1794.621236104351,530.1696643539556,0.0,0.0,990.0,0.0,0.1873166561126709,0.1873166561126709
CopperConcentration,rocket,1,3.572458274554078,1.626208961119619,0.0,0.0,1000.0,0.0,0.28409790992736816,0.28409790992736816
CopperConcentration,multirocket,1,3.390140593876356,1.7440036836643236,0.0,0.0,1008.0,0.0,0.20452284812927246,0.20452284812927246
CopperConcentration,tsfel,1,2.4457975766840754,1.3462433806009513,0.0,0.0,389.0,0.0,0.0838766098022461,0.0838766098022461
