Name,Strategy,Num dim,RMSE,MAE,Run time (extr),Run time (tsf),Num features,Time/feature,Run time (classif),Total time
AcousticContaminationMadrid-no-missing,rocket,1,4.488956928253174,3.35725998878479,0.0,0.0,1000.0,0.0,0.4324338436126709,0.4324338436126709
AcousticContaminationMadrid-no-missing,multirocket,1,5.157778263092041,3.8403406143188477,0.0,0.0,1008.0,0.0,0.3119964599609375,0.3119964599609375
AcousticContaminationMadrid-no-missing,tsfel,1,4.095880508422852,2.9699347019195557,0.0,0.0,316.0,0.0,0.17978549003601074,0.17978549003601074
AcousticContaminationMadrid-no-missing,catch22,1,4.642335891723633,3.257923126220703,0.0,0.0,22.0,0.0,0.05845284461975098,0.05845284461975098
AcousticContaminationMadrid-no-missing,tsfeatures,1,5.237988471984863,4.368126392364502,0.0,0.0,37.0,0.0,0.06460976600646973,0.06460976600646973
AcousticContaminationMadrid-no-missing,signature,1,6.318944454193115,4.977667331695557,0.0,0.0,42.0,0.0,0.06528210639953613,0.06528210639953613
AcousticContaminationMadrid-no-missing,intervals_c22,1,6.0527729988098145,4.521936416625977,0.0,0.0,990.0,0.0,0.3034787178039551,0.3034787178039551
AluminiumConcentration,rocket,1,295.2632141113281,208.7837371826172,0.0,0.0,1000.0,0.0,1.8096020221710205,1.8096020221710205
AluminiumConcentration,multirocket,1,343.482421875,248.9252166748047,0.0,0.0,1008.0,0.0,1.3858535289764404,1.3858535289764404
AluminiumConcentration,tsfel,1,355.38983154296875,242.67237854003906,0.0,0.0,389.0,0.0,0.7349040508270264,0.7349040508270264
AluminiumConcentration,catch22,1,361.2633361816406,260.82470703125,0.0,0.0,22.0,0.0,0.10135674476623535,0.10135674476623535
AluminiumConcentration,tsfeatures,1,359.5074768066406,253.19468688964844,0.0,0.0,37.0,0.0,0.12888336181640625,0.12888336181640625
AluminiumConcentration,signature,1,317.4200439453125,226.1136474609375,0.0,0.0,42.0,0.0,0.1386702060699463,0.1386702060699463
AluminiumConcentration,intervals_c22,1,264.5614318847656,184.77484130859375,0.0,0.0,990.0,0.0,1.16719388961792,1.16719388961792
BeijingIntAirportPM25Quality,rocket,6,62.58688735961914,45.86310577392578,0.0,0.0,1000.0,0.0,2.919679641723633,2.919679641723633
BeijingIntAirportPM25Quality,multirocket,6,55.320377349853516,39.8610954284668,0.0,0.0,1008.0,0.0,1.5758607387542725,1.5758607387542725
BeijingIntAirportPM25Quality,tsfel,6,54.98334884643555,40.333431243896484,0.0,0.0,876.0,0.0,2.63297176361084,2.63297176361084
BeijingIntAirportPM25Quality,catch22,6,59.27125930786133,42.4423828125,0.0,0.0,132.0,0.0,0.33910250663757324,0.33910250663757324
BeijingIntAirportPM25Quality,tsfeatures,6,69.69914245605469,50.77440643310547,0.0,0.0,222.0,0.0,0.5562801361083984,0.5562801361083984
BeijingIntAirportPM25Quality,signature,6,50.89645767211914,37.415374755859375,0.0,0.0,392.0,0.0,0.9408040046691895,0.9408040046691895
BeijingIntAirportPM25Quality,intervals_c22,6,57.0426139831543,41.4625129699707,0.0,0.0,990.0,0.0,1.3784475326538086,1.3784475326538086
BinanceCoinSentiment,rocket,2,0.3898071348667145,0.3192940354347229,0.0,0.0,1000.0,0.0,0.3731191158294678,0.3731191158294678
BinanceCoinSentiment,multirocket,2,0.3673197031021118,0.2914869487285614,0.0,0.0,1008.0,0.0,0.2623751163482666,0.2623751163482666
