Name,Strategy,Num dim,RMSE,MAE,Run time (extr),Run time (tsf),Num features,Time/feature,Run time (classif),Total time
AcousticContaminationMadrid-no-missing,rocket,1,3.4607160766622704,2.668038373061262,0.0,0.0,1365.0,0.0,0.022780179977416992,0.022780179977416992
AcousticContaminationMadrid-no-missing,multirocket,1,4.782456083166891,3.6983975759505956,0.0,0.0,1373.0,0.0,0.032689571380615234,0.032689571380615234
AcousticContaminationMadrid-no-missing,tsfel,1,5.770091322743753,4.029581534600791,0.0,0.0,681.0,0.0,0.026686429977416992,0.026686429977416992
AcousticContaminationMadrid-no-missing,catch22,1,6.418996332151504,4.7312491703321635,0.0,0.0,387.0,0.0,0.011022567749023438,0.011022567749023438
AcousticContaminationMadrid-no-missing,tsfeatures,1,6.463338755531976,5.236453808749881,0.0,0.0,402.0,0.0,0.0168917179107666,0.0168917179107666
AcousticContaminationMadrid-no-missing,signature,1,8.139024277369618,6.352224279767903,0.0,0.0,407.0,0.0,0.013520002365112305,0.013520002365112305
AcousticContaminationMadrid-no-missing,intervals_c22,1,4.782916361675925,3.601742189445381,0.0,0.0,1355.0,0.0,0.0238645076751709,0.0238645076751709
AluminiumConcentration,rocket,1,288.02935957748815,217.30269498965927,0.0,0.0,3542.0,0.0,0.13911104202270508,0.13911104202270508
AluminiumConcentration,multirocket,1,428.1080414105159,339.6146682979488,0.0,0.0,3550.0,0.0,0.17449188232421875,0.17449188232421875
AluminiumConcentration,tsfel,1,534.4907717817808,388.6889199486786,0.0,0.0,2931.0,0.0,0.13637542724609375,0.13637542724609375
AluminiumConcentration,catch22,1,580.6019831507058,431.96418834284964,0.0,0.0,2564.0,0.0,0.14531564712524414,0.14531564712524414
AluminiumConcentration,tsfeatures,1,550.6197026222973,410.89544497399976,0.0,0.0,2579.0,0.0,0.14232635498046875,0.14232635498046875
AluminiumConcentration,signature,1,562.2539397307963,425.4691287492528,0.0,0.0,2584.0,0.0,0.13810372352600098,0.13810372352600098
AluminiumConcentration,intervals_c22,1,394.758030070461,299.7178955977773,0.0,0.0,3532.0,0.0,0.1657876968383789,0.1657876968383789
BeijingIntAirportPM25Quality,rocket,6,624.1486500144149,421.0763333653843,0.0,0.0,1144.0,0.0,0.3055267333984375,0.3055267333984375
BeijingIntAirportPM25Quality,multirocket,6,288921.26240753825,34344.419880017835,0.0,0.0,1152.0,0.0,0.2832298278808594,0.2832298278808594
BeijingIntAirportPM25Quality,tsfel,6,13469462997264.678,1120593884224.1028,0.0,0.0,1020.0,0.0,0.22284483909606934,0.22284483909606934
BeijingIntAirportPM25Quality,catch22,6,1686.5727652360783,130.8517760427021,0.0,0.0,276.0,0.0,0.025403738021850586,0.025403738021850586
BeijingIntAirportPM25Quality,tsfeatures,6,83.14601440812473,51.9289554612839,0.0,0.0,366.0,0.0,0.028592824935913086,0.028592824935913086
BeijingIntAirportPM25Quality,signature,6,96296152435174.94,11499265899246.465,0.0,0.0,536.0,0.0,0.0562741756439209,0.0562741756439209
BeijingIntAirportPM25Quality,intervals_c22,6,408173980040943.1,56976438915456.21,0.0,0.0,1134.0,0.0,0.2832615375518799,0.2832615375518799
BinanceCoinSentiment,rocket,2,0.4042974713198246,0.33257722409523527,0.0,0.0,1048.0,0.0,0.01936817169189453,0.01936817169189453
BinanceCoinSentiment,multirocket,2,0.4654799004253054,0.3767337079987512,0.0,0.0,1056.0,0.0,0.022253036499023438,0.022253036499023438
BinanceCoinSentiment,tsfel,2,3.215218489583905,2.101811991174387,0.0,0.0,340.0,0.0,0.022731781005859375,0.022731781005859375
BinanceCoinSentiment,catch22,2,0.45025274225383977,0.3480274176759122,0.0,0.0,92.0,0.0,0.015034914016723633,0.015034914016723633
BinanceCoinSentiment,tsfeatures,2,0.42629696516628024,0.34613066509526424,0.0,0.0,122.0,0.0,0.004476785659790039,0.004476785659790039
BinanceCoinSentiment,signature,2,1.438618827891356,0.739482917468923,0.0,0.0,132.0,0.0,0.004614830017089844,0.004614830017089844
BinanceCoinSentiment,intervals_c22,2,0.4975343866306292,0.35740389402800543,0.0,0.0,1038.0,0.0,0.020390748977661133,0.020390748977661133
BitcoinSentiment,rocket,2,0.27855751367123016,0.20245733148157682,0.0,0.0,1048.0,0.0,0.025816679000854492,0.025816679000854492
BitcoinSentiment,multirocket,2,0.28665613315864485,0.2167058698832933,0.0,0.0,1056.0,0.0,0.023409605026245117,0.023409605026245117
BitcoinSentiment,tsfel,2,28.689080686486918,6.83459171966839,0.0,0.0,340.0,0.0,0.02074599266052246,0.02074599266052246
BitcoinSentiment,catch22,2,0.29520129087951774,0.21858006224764803,0.0,0.0,92.0,0.0,0.003486156463623047,0.003486156463623047
BitcoinSentiment,tsfeatures,2,0.2852217003444178,0.2163469428951431,0.0,0.0,122.0,0.0,0.009626626968383789,0.009626626968383789
BitcoinSentiment,signature,2,2.972422818444056,0.6043619570414709,0.0,0.0,132.0,0.0,0.014937877655029297,0.014937877655029297
BitcoinSentiment,intervals_c22,2,0.33564231425634977,0.2625227040966682,0.0,0.0,1038.0,0.0,0.02434849739074707,0.02434849739074707
BoronConcentration,rocket,1,1.9163915387570343,1.5118086009393563,0.0,0.0,3542.0,0.0,0.15949654579162598,0.15949654579162598
BoronConcentration,multirocket,1,2.9731426594130155,2.3608410183298534,0.0,0.0,3550.0,0.0,0.14891529083251953,0.14891529083251953
BoronConcentration,tsfel,1,2.22200954249243,1.4488194298354922,0.0,0.0,2931.0,0.0,0.1243445873260498,0.1243445873260498
BoronConcentration,catch22,1,3.149829732513904,2.460549836460013,0.0,0.0,2564.0,0.0,0.14386200904846191,0.14386200904846191
BoronConcentration,tsfeatures,1,3.3033439072198862,2.536486505644929,0.0,0.0,2579.0,0.0,0.13636183738708496,0.13636183738708496
BoronConcentration,signature,1,2.9963101240920698,2.3515781577866304,0.0,0.0,2584.0,0.0,0.14706921577453613,0.14706921577453613
BoronConcentration,intervals_c22,1,3.0308589102185177,1.9689960689986834,0.0,0.0,3532.0,0.0,0.14457058906555176,0.14457058906555176
CalciumConcentration,rocket,1,3100.7395201187664,2230.196486385898,0.0,0.0,3307.0,0.0,0.14868474006652832,0.14868474006652832
CalciumConcentration,multirocket,1,3659.6143537304556,2801.2460762978512,0.0,0.0,3315.0,0.0,0.13211727142333984,0.13211727142333984
CalciumConcentration,tsfel,1,5314.147570813921,3578.935174526675,0.0,0.0,2696.0,0.0,0.12862277030944824,0.12862277030944824
CalciumConcentration,catch22,1,3631.787886695699,2320.959653979227,0.0,0.0,2329.0,0.0,0.11957621574401855,0.11957621574401855
CalciumConcentration,tsfeatures,1,3376.585605877014,2151.3029924345456,0.0,0.0,2344.0,0.0,0.11664748191833496,0.11664748191833496
CalciumConcentration,signature,1,3464.392342528352,2169.4720536597824,0.0,0.0,2349.0,0.0,0.12943434715270996,0.12943434715270996
CalciumConcentration,intervals_c22,1,4607.994660337799,3438.8131557835013,0.0,0.0,3297.0,0.0,0.13867759704589844,0.13867759704589844
CardanoSentiment,rocket,2,0.3170187625040767,0.25126046141027386,0.0,0.0,1048.0,0.0,0.0067555904388427734,0.0067555904388427734
CardanoSentiment,multirocket,2,0.28706282622229146,0.22180732376276913,0.0,0.0,1056.0,0.0,0.0069086551666259766,0.0069086551666259766
CardanoSentiment,tsfel,2,0.5256292499144911,0.3865969454428375,0.0,0.0,340.0,0.0,0.013200521469116211,0.013200521469116211
CardanoSentiment,catch22,2,2.479816168707561,1.7626101259408895,0.0,0.0,92.0,0.0,0.0021369457244873047,0.0021369457244873047
CardanoSentiment,tsfeatures,2,1.147636940237678,0.8373092982451118,0.0,0.0,122.0,0.0,0.002490997314453125,0.002490997314453125
CardanoSentiment,signature,2,2.4460234706956046,1.4939790709170677,0.0,0.0,132.0,0.0,0.0025336742401123047,0.0025336742401123047
CardanoSentiment,intervals_c22,2,0.36539164281632946,0.2599062877121792,0.0,0.0,1038.0,0.0,0.0066890716552734375,0.0066890716552734375
ChilledWaterPredictor,rocket,4,396332991681044.0,294757057375191.06,0.0,0.0,1672.0,0.0,0.0513920783996582,0.0513920783996582
ChilledWaterPredictor,multirocket,4,316267942289651.2,236522954477178.44,0.0,0.0,1680.0,0.0,0.050072431564331055,0.050072431564331055
ChilledWaterPredictor,tsfel,4,151851310602189.22,100366106148423.73,0.0,0.0,1544.0,0.0,0.04912829399108887,0.04912829399108887
ChilledWaterPredictor,catch22,4,14145308489753.256,10217755573666.426,0.0,0.0,760.0,0.0,0.0513148307800293,0.0513148307800293
ChilledWaterPredictor,tsfeatures,4,72843642786589.11,56270392158883.74,0.0,0.0,820.0,0.0,0.05133557319641113,0.05133557319641113
ChilledWaterPredictor,signature,4,3109157385981.334,2338731432209.807,0.0,0.0,882.0,0.0,0.040998220443725586,0.040998220443725586
ChilledWaterPredictor,intervals_c22,4,1005490763477747.8,752520100919387.9,0.0,0.0,1662.0,0.0,0.05122041702270508,0.05122041702270508
CopperConcentration,rocket,1,2.1420801698392546,1.4542061696058226,0.0,0.0,3542.0,0.0,0.16131091117858887,0.16131091117858887
CopperConcentration,multirocket,1,3.0156598554522467,2.2117323049242668,0.0,0.0,3550.0,0.0,0.1493701934814453,0.1493701934814453
CopperConcentration,tsfel,1,2.817208869525322,2.076119218884383,0.0,0.0,2931.0,0.0,0.12700939178466797,0.12700939178466797
CopperConcentration,catch22,1,3.3729441841968346,2.473226499648308,0.0,0.0,2564.0,0.0,0.13945508003234863,0.13945508003234863
CopperConcentration,tsfeatures,1,2.9689822320657515,2.175184300171853,0.0,0.0,2579.0,0.0,0.12975692749023438,0.12975692749023438
