Name,Strategy,Num dim,RMSE,MAE,Run time (extr),Run time (tsf),Num features,Time/feature,Run time (classif),Total time
AcousticContaminationMadrid-no-missing,featuretools,1,12.373784065246582,9.25709342956543,0.6747133731842041,0.3176991939544678,50.0,0.013494267463684081,0.0014905929565429688,0.9939031600952148
AluminiumConcentration,featuretools,1,266.2163391113281,199.24127197265625,3.077101945877075,1.2616777420043945,50.0,0.0615420389175415,0.0016372203826904297,4.34041690826416
BeijingIntAirportPM25Quality,featuretools,6,3699.007080078125,238.1248016357422,18.713887929916382,8.265599250793457,295.0,0.06343690823700468,0.019515275955200195,26.99900245666504
BinanceCoinSentiment,featuretools,2,0.9113733768463135,0.5568370223045349,1.1374406814575195,0.5571393966674805,99.0,0.011489299812702218,0.0024700164794921875,1.6970500946044922
BitcoinSentiment,featuretools,2,0.30981579422950745,0.21352697908878326,1.388843297958374,0.67348313331604,99.0,0.014028720181397718,0.0025510787963867188,2.064877510070801
BoronConcentration,featuretools,1,1.5660473108291626,1.0832724571228027,2.9602749347686768,1.2656033039093018,50.0,0.05920549869537353,0.0016291141510009766,4.2275073528289795
CalciumConcentration,featuretools,1,2728.6796875,1681.3812255859375,2.768279552459717,1.3518619537353516,50.0,0.055365591049194335,0.001642465591430664,4.121783971786499
CardanoSentiment,featuretools,2,11.606764793395996,8.929301261901855,0.5350973606109619,0.30832791328430176,99.0,0.005405023844555171,0.0016739368438720703,0.8450992107391357
ChilledWaterPredictor,featuretools,4,5403.87158203125,4325.56494140625,4.104689359664917,1.9633560180664062,197.0,0.02083598659728384,0.005907773971557617,6.073953151702881
CopperConcentration,featuretools,1,2.1731910705566406,1.3857499361038208,2.8592777252197266,1.2664737701416016,50.0,0.05718555450439453,0.0016028881072998047,4.127354383468628
Covid19Andalusia,featuretools,1,0.018208958208560944,0.013130211271345615,0.5997068881988525,0.25174665451049805,50.0,0.01199413776397705,0.001232147216796875,0.8526856899261475
DailyOilGasPrices,featuretools,2,5.663514614105225,3.5015714168548584,0.8536641597747803,0.4442017078399658,99.0,0.008622870300755356,0.0021524429321289062,1.300018310546875
DailyTemperatureLatitude,featuretools,1,5.122467041015625,3.8622429370880127,90.8187506198883,39.42104721069336,50.0,1.8163750123977662,0.030245542526245117,130.2700433731079
