Name,Strategy,Num dim,RMSE,MAE,MAPE,Run time (extr),Run time (tsf),Num features,Time/feature,Run time (classif),Total time
HouseholdPowerConsumption1,tsfel,5,73.64300867092656,29.21144805949304,0.028744741308502977,0.0,0.0,7200.0,0.0,0.32418346405029297,0.32418346405029297
HouseholdPowerConsumption2,tsfel,5,163.30364753866627,52.99068495999948,0.3650095488539206,0.0,0.0,7200.0,0.0,0.24565958976745605,0.24565958976745605
BeijingPM25Quality,tsfel,9,107.94316094078991,48.452262503413216,0.5840001951150563,0.0,0.0,216.0,0.0,0.29566431045532227,0.29566431045532227
BeijingPM10Quality,tsfel,9,160.73915464184796,69.84229784149758,0.518075310361966,0.0,0.0,216.0,0.0,0.27623581886291504,0.27623581886291504
Covid3Month,tsfel,1,0.04611184917752373,0.034555262985401694,30567718223473.535,0.0,0.0,84.0,0.0,0.0056531429290771484,0.0056531429290771484
LiveFuelMoistureContent,tsfel,7,77.25127220027922,48.27295977694259,0.4433673301413934,0.0,0.0,2555.0,0.0,14.518558740615845,14.518558740615845
FloodModeling1,tsfel,1,0.04490823223378333,0.018854047849460112,0.04200090832929038,0.0,0.0,266.0,0.0,0.02425408363342285,0.02425408363342285
FloodModeling2,tsfel,1,0.017603164714516385,0.005434375454476963,0.019890181341209325,0.0,0.0,266.0,0.0,0.02484273910522461,0.02484273910522461
FloodModeling3,tsfel,1,0.026929766718274985,0.01857597362216849,0.04481826678128666,0.0,0.0,266.0,0.0,0.02269268035888672,0.02269268035888672
AppliancesEnergy,tsfel,24,3.4991021717369435,2.9214721171140803,0.22103713502618427,0.0,0.0,3456.0,0.0,0.004900455474853516,0.004900455474853516
BenzeneConcentration,tsfel,8,2.5207180028213254,2.0439243123486084,0.5048592258350869,0.0,0.0,1920.0,0.0,6.474907636642456,6.474907636642456
NewsHeadlineSentiment,tsfel,3,0.14373413932799162,0.10984225293432247,4265934137178.3994,0.0,0.0,432.0,0.0,5.213136911392212,5.213136911392212
NewsTitleSentiment,tsfel,3,0.13977898455809218,0.09874130967986922,6991150663583.431,0.0,0.0,432.0,0.0,4.934065580368042,4.934065580368042
BIDMC32RR,tsfel,2,5.406731819561907,4.015154036729582,0.2331155090223932,0.0,0.0,8000.0,0.0,40.77883791923523,40.77883791923523
BIDMC32HR,tsfel,2,24.52061454919182,18.350537376684493,0.2103688080519272,0.0,0.0,8000.0,0.0,41.17517828941345,41.17517828941345
BIDMC32SpO2,tsfel,2,6.134447914429543,4.512991658452531,0.04859528708543252,0.0,0.0,8000.0,0.0,41.43398380279541,41.43398380279541
IEEEPPG,tsfel,5,79.57548207324179,56.716017024826435,0.4890050132444338,0.0,0.0,5000.0,0.0,1.6717450618743896,1.6717450618743896
AcousticContaminationMadrid-no-missing,tsfel,1,6.064225179875272,4.464537914584337,0.05276762840988794,0.0,0.0,365.0,0.0,0.0046999454498291016,0.0046999454498291016
AluminiumConcentration,tsfel,1,227.86975460198903,170.63188773685698,0.26025622723795194,0.0,0.0,2542.0,0.0,0.047946929931640625,0.047946929931640625
BarCrawl6min,tsfel,3,0.09049909229667324,0.05887094283813549,10.308777430020621,0.0,0.0,1080.0,0.0,0.004660129547119141,0.004660129547119141
BeijingIntAirportPM25Quality,tsfel,6,62.917023597664574,45.608093783233016,0.8572626040123077,0.0,0.0,144.0,0.0,0.01439213752746582,0.01439213752746582
BinanceCoinSentiment,tsfel,2,0.3638999080651989,0.2862981990626747,16725122106774.55,0.0,0.0,48.0,0.0,0.001741170883178711,0.001741170883178711
BitcoinSentiment,tsfel,2,0.24498232787762755,0.1695453682622567,4.644794796435001,0.0,0.0,48.0,0.0,0.0018057823181152344,0.0018057823181152344
BoronConcentration,tsfel,1,1.6944558780564891,1.1950834668463388,306.82892919638533,0.0,0.0,2542.0,0.0,0.04893326759338379,0.04893326759338379
CalciumConcentration,tsfel,1,2254.051713858209,1531.116519901495,1778.6777080023974,0.0,0.0,2307.0,0.0,0.0473179817199707,0.0473179817199707
CardanoSentiment,tsfel,2,0.3341588354049609,0.26702830176625464,76093285396607.56,0.0,0.0,48.0,0.0,0.0015213489532470703,0.0015213489532470703
ChilledWaterPredictor,tsfel,4,3684.915849475533,3009.653975722096,3.016289850453993e+17,0.0,0.0,672.0,0.0,0.01708984375,0.01708984375
CopperConcentration,tsfel,1,1.8467482786827152,0.99328710912312,28.915857317241528,0.0,0.0,2542.0,0.0,0.0482630729675293,0.0482630729675293
Covid19Andalusia,tsfel,1,0.031470513756800544,0.024235852881730142,3.593895388768375,0.0,0.0,91.0,0.0,0.0030906200408935547,0.0030906200408935547
DailyOilGasPrices,tsfel,2,1.6058326189773693,1.3159668798012425,0.32396353642439357,0.0,0.0,60.0,0.0,0.0018608570098876953,0.0018608570098876953
DailyTemperatureLatitude,tsfel,1,9.972414471326188,7.865125820843258,0.7474436079772968,0.0,0.0,365.0,0.0,1.4898970127105713,1.4898970127105713
DhakaHourlyAirQuality,tsfel,1,12.521285450843825,10.013665258554777,0.095896505498249,0.0,0.0,24.0,0.0,0.005677700042724609,0.005677700042724609
ElectricityPredictor,tsfel,4,618.9724426783033,420.0116733374648,86.62084886238684,0.0,0.0,672.0,0.0,0.062265634536743164,0.062265634536743164
ElectricMotorTemperature,tsfel,6,11.965429902040633,9.174719517355182,0.17559507400410065,0.0,0.0,360.0,0.0,0.7610278129577637,0.7610278129577637
EthereumSentiment,tsfel,2,0.24899471471907486,0.18639243626441523,35427056288943.79,0.0,0.0,48.0,0.0,0.0017743110656738281,0.0017743110656738281
GasSensorArrayAcetone,tsfel,1,0.2704841128308684,0.1727559342878428,231942569007866.22,0.0,0.0,7500.0,0.0,0.04920506477355957,0.04920506477355957
GasSensorArrayEthanol,tsfel,1,0.1961338715361682,0.12922679737069223,169033381473589.75,0.0,0.0,7500.0,0.0,0.05073714256286621,0.05073714256286621
HotwaterPredictor,tsfel,4,1589.4852052220274,1182.1844140870319,10.676170336378194,0.0,0.0,672.0,0.0,0.010591745376586914,0.010591745376586914
IronConcentration,tsfel,1,60.003434329891874,41.88012601187709,0.4754026033119049,0.0,0.0,1716.0,0.0,0.03967118263244629,0.03967118263244629
LPGasMonitoringHomeActivity,tsfel,1,1.3208371489009383,0.9524685926882208,0.12347697955425865,0.0,0.0,100.0,0.0,0.015216350555419922,0.015216350555419922
MadridPM10Quality-no-missing,tsfel,3,9.088904357464967,6.958420591479496,0.2715651915483914,0.0,0.0,504.0,0.0,0.4881293773651123,0.4881293773651123
MagnesiumConcentration,tsfel,1,116.88972120873765,86.45105540326409,0.8590722887358629,0.0,0.0,3578.0,0.0,1.0596189498901367,1.0596189498901367
ManganeseConcentration,tsfel,1,81.11937760217035,60.419165436494374,2.766638008472946,0.0,0.0,1716.0,0.0,0.039804697036743164,0.039804697036743164
MethaneMonitoringHomeActivity,tsfel,1,0.5804419253486873,0.38580536600584336,0.03242421429410164,0.0,0.0,100.0,0.0,0.015427112579345703,0.015427112579345703
MetroInterstateTrafficVolume,tsfel,4,582.7613606924508,470.75369568692986,0.16275653122983463,0.0,0.0,96.0,0.0,0.006682157516479492,0.006682157516479492
NaturalGasPricesSentiment,tsfel,1,0.07403822352796043,0.061858917761248335,0.26900059471848586,0.0,0.0,20.0,0.0,0.0009036064147949219,0.0009036064147949219
OccupancyDetectionLight,tsfel,3,116.52690967057066,92.22453082454571,1.4403897526708045e+17,0.0,0.0,180.0,0.0,0.0076618194580078125,0.0076618194580078125
ParkingBirmingham-equal-length,tsfel,1,0.21985635964117528,0.1908350425565454,0.6648738346472483,0.0,0.0,14.0,0.0,0.0015742778778076172,0.0015742778778076172
PhosphorusConcentration,tsfel,1,20.588642999691942,12.747900184744806,46.63923555952703,0.0,0.0,3578.0,0.0,1.1066243648529053,1.1066243648529053
PotassiumConcentration,tsfel,1,190.28732362645613,114.47717250130454,1.6219813183335858,0.0,0.0,3578.0,0.0,1.0968663692474365,1.0968663692474365
PrecipitationAndalusia-no-missing,tsfel,4,0.4413778306960294,0.3043801370406023,0.24056117103304536,0.0,0.0,1460.0,0.0,0.04662799835205078,0.04662799835205078
SierraNevadaMountainsSnow,tsfel,3,40.416888349325966,28.473683203940205,3.2897603820376296e+16,0.0,0.0,90.0,0.0,0.0036602020263671875,0.0036602020263671875
SodiumConcentration,tsfel,1,322.88535879938576,220.43801710122244,9.978600915222229,0.0,0.0,1716.0,0.0,0.03783774375915527,0.03783774375915527
SolarRadiationAndalusia-no-missing,tsfel,2,0.7914852645692655,0.6139105083162488,0.03446654329846865,0.0,0.0,730.0,0.0,0.04080843925476074,0.04080843925476074
SteamPredictor,tsfel,4,38796.89220570509,25718.795554904933,53.584189522756304,0.0,0.0,672.0,0.0,0.008308649063110352,0.008308649063110352
SulphurConcentration,tsfel,1,311.227375740117,72.16664040471565,4.70517066608932,0.0,0.0,2307.0,0.0,0.046953678131103516,0.046953678131103516
TetuanEnergyConsumption,tsfel,5,1866.1332189285417,1411.0183058527589,0.05314434554682638,0.0,0.0,720.0,0.0,0.011535406112670898,0.011535406112670898
VentilatorPressure,tsfel,2,2.071985451074899,1.6867592403061002,0.1635905273534088,0.0,0.0,160.0,0.0,0.8956096172332764,0.8956096172332764
WaveDataTension,tsfel,1,14.376404125209943,11.811857211107137,0.0047365809528035875,0.0,0.0,57.0,0.0,0.004732370376586914,0.004732370376586914
WindTurbinePower,tsfel,1,1012.7689953632876,842.9088668280847,9.060366642885022,0.0,0.0,144.0,0.0,0.00921010971069336,0.00921010971069336
ZincConcentration,tsfel,1,1.9994852070736984,0.8877500771011209,0.8142627508716775,0.0,0.0,2307.0,0.0,0.047185420989990234,0.047185420989990234
