Name,Strategy,Num dim,RMSE,MAE,MAPE,Run time (extr),Run time (tsf),Num features,Time/feature,Run time (classif),Total time
HouseholdPowerConsumption1,tsfel,5,388.75242922314436,293.7508421583704,0.22323401233708162,0.0,0.0,7200.0,0.0,1.8063361644744873,1.8063361644744873
HouseholdPowerConsumption2,tsfel,5,57.17786480238996,43.25301808031933,0.24482766519232735,0.0,0.0,7200.0,0.0,1.934302568435669,1.934302568435669
BeijingPM25Quality,tsfel,9,87.25739292774786,55.07284072839704,0.5233819234435886,0.0,0.0,216.0,0.0,2.0656096935272217,2.0656096935272217
BeijingPM10Quality,tsfel,9,124.98678060051446,78.50475435816165,0.5207821033894784,0.0,0.0,216.0,0.0,2.2270591259002686,2.2270591259002686
Covid3Month,tsfel,1,0.05012691419791995,0.03491819347636622,27200246814485.73,0.0,0.0,84.0,0.0,0.0017087459564208984,0.0017087459564208984
LiveFuelMoistureContent,tsfel,7,62.364284759032934,46.942672128235266,0.42507717335728307,0.0,0.0,2555.0,0.0,12.9610595703125,12.9610595703125
FloodModeling1,tsfel,1,0.021420588378478864,0.01494059409245406,0.03330322535292038,0.0,0.0,266.0,0.0,0.10808229446411133,0.10808229446411133
FloodModeling2,tsfel,1,0.018585019909826757,0.0031542285016520105,0.009743947395998152,0.0,0.0,266.0,0.0,0.1061856746673584,0.1061856746673584
FloodModeling3,tsfel,1,0.021001035960436495,0.01435869575842567,0.03431818089732553,0.0,0.0,266.0,0.0,0.08677554130554199,0.08677554130554199
AppliancesEnergy,tsfel,24,5.979689860774423,4.501904748734974,0.32438991080925816,0.0,0.0,3456.0,0.0,0.11317682266235352,0.11317682266235352
BenzeneConcentration,tsfel,8,0.6868495402783923,0.09099286918766665,0.011881804010235562,0.0,0.0,1920.0,0.0,4.584571599960327,4.584571599960327
NewsHeadlineSentiment,tsfel,3,0.19254321463396898,0.14940501758300043,13825033287712.693,0.0,0.0,432.0,0.0,60.35797929763794,60.35797929763794
NewsTitleSentiment,tsfel,3,0.18635883730173375,0.13851145565779707,69965748192652.53,0.0,0.0,432.0,0.0,64.80097651481628,64.80097651481628
BIDMC32RR,tsfel,2,4.751651392467497,3.337677777583721,0.19022579806929435,0.0,0.0,8000.0,0.0,54.383460998535156,54.383460998535156
BIDMC32HR,tsfel,2,19.469697205409936,14.294392651346834,0.1700632072953518,0.0,0.0,8000.0,0.0,47.74231219291687,47.74231219291687
BIDMC32SpO2,tsfel,2,4.971833034175625,3.597126870515099,0.038980979017758315,0.0,0.0,8000.0,0.0,40.542869091033936,40.542869091033936
