Name,Strategy,Num dim,RMSE,MAE,MAPE,Run time (extr),Run time (tsf),Num features,Time/feature,Run time (classif),Total time
HouseholdPowerConsumption1,tsfel,5,204.7255417631283,156.83765395317414,0.13518291972930388,0.0,0.0,7200.0,0.0,50.89926528930664,50.89926528930664
HouseholdPowerConsumption2,tsfel,5,45.98472444693845,33.028795031729665,0.19256772850243692,0.0,0.0,7200.0,0.0,57.1151385307312,57.1151385307312
BeijingPM25Quality,tsfel,9,63.70412205949387,37.762453249029804,0.38306743190572345,0.0,0.0,216.0,0.0,61.391401052474976,61.391401052474976
BeijingPM10Quality,tsfel,9,94.63546327356916,56.860242076154364,0.4040742836326245,0.0,0.0,216.0,0.0,68.76413011550903,68.76413011550903
Covid3Month,tsfel,1,0.042345048023347015,0.030971717437515492,26996777312004.65,0.0,0.0,84.0,0.0,0.09556007385253906,0.09556007385253906
LiveFuelMoistureContent,tsfel,7,44.7963396067905,33.52691063096339,0.3097545192501105,0.0,0.0,2555.0,0.0,345.0809986591339,345.0809986591339
FloodModeling1,tsfel,1,0.015982841523075286,0.011276733060874561,0.025078307196158407,0.0,0.0,266.0,0.0,1.8834800720214844,1.8834800720214844
FloodModeling2,tsfel,1,0.014311300580615121,0.002748755849712523,0.008882506492335058,0.0,0.0,266.0,0.0,2.1330349445343018,2.1330349445343018
FloodModeling3,tsfel,1,0.02057113793549044,0.01361119578713956,0.03239481147860815,0.0,0.0,266.0,0.0,1.6492979526519775,1.6492979526519775
AppliancesEnergy,tsfel,24,3.4261676791414755,2.67866188503447,0.20134909422238256,0.0,0.0,3456.0,0.0,3.2436842918395996,3.2436842918395996
BenzeneConcentration,tsfel,8,0.8380903556380518,0.08425794015206872,0.012564655829990333,0.0,0.0,1920.0,0.0,4264.63548541069,4264.63548541069
NewsHeadlineSentiment,tsfel,3,0.14826767312533431,0.11416150039631441,5405596670825.26,0.0,0.0,432.0,0.0,1713.3640949726105,1713.3640949726105
