Name,Strategy,Num dim,RMSE,MAE,MAPE,Run time (extr),Run time (tsf),Num features,Time/feature,Run time (classif),Total time
HouseholdPowerConsumption1,catch22,5,212.08704249451807,129.7023695937591,0.35486469784455055,0.0,0.0,110.0,0.0,0.014286518096923828,0.014286518096923828
HouseholdPowerConsumption2,catch22,5,40.22536000686962,27.575004845238407,0.2811460419879134,0.0,0.0,110.0,0.0,0.007292747497558594,0.007292747497558594
BeijingPM25Quality,catch22,9,74.4126617161696,46.44775203145863,0.5362461362426196,0.0,0.0,198.0,0.0,0.230729341506958,0.230729341506958
BeijingPM10Quality,catch22,9,106.04281539281241,63.82505412757393,0.42740682813044134,0.0,0.0,198.0,0.0,0.21741008758544922,0.21741008758544922
Covid3Month,catch22,1,0.04876542812283771,0.03417428058804491,39790295266317.02,0.0,0.0,22.0,0.0,0.0010051727294921875,0.0010051727294921875
LiveFuelMoistureContent,catch22,7,43.9144829378858,32.67619746145842,0.298942364999253,0.0,0.0,154.0,0.0,0.04960155487060547,0.04960155487060547
FloodModeling1,catch22,1,0.006551063405480888,0.0050318001212856615,0.011350672923720476,0.0,0.0,22.0,0.0,0.0012547969818115234,0.0012547969818115234
FloodModeling2,catch22,1,0.0056860081131654755,0.0031486601372179264,0.01282978043496522,0.0,0.0,22.0,0.0,0.0012211799621582031,0.0012211799621582031
FloodModeling3,catch22,1,0.0065579565789541565,0.004731998314711377,0.011587082682177965,0.0,0.0,22.0,0.0,0.0012485980987548828,0.0012485980987548828
AppliancesEnergy,catch22,24,2.5126257214732606,2.0849461161147906,0.15774326127479837,0.0,0.0,528.0,0.0,0.0025277137756347656,0.0025277137756347656
BenzeneConcentration,catch22,8,27.510670002089732,20.60568540283011,4.382684890722672,0.0,0.0,176.0,0.0,0.055008649826049805,0.055008649826049805
NewsHeadlineSentiment,catch22,3,0.14229497660873047,0.10904229720927221,4076247019945.4155,0.0,0.0,66.0,0.0,0.3684225082397461,0.3684225082397461
NewsTitleSentiment,catch22,3,0.13813079150870453,0.09778616983899947,5391658075904.035,0.0,0.0,66.0,0.0,0.32683634757995605,0.32683634757995605
BIDMC32RR,catch22,2,4.901470304321427,3.715380841419169,0.20209048693279638,0.0,0.0,44.0,0.0,0.013499259948730469,0.013499259948730469
BIDMC32HR,catch22,2,15.187566187448772,11.938416072827232,0.13797622330373127,0.0,0.0,44.0,0.0,0.013764381408691406,0.013764381408691406
BIDMC32SpO2,catch22,2,6.262694706085563,4.2837245306138385,0.04690478740079074,0.0,0.0,44.0,0.0,0.013916969299316406,0.013916969299316406
IEEEPPG,catch22,5,78.20656649698502,65.89284829795213,0.6564040678275271,0.0,0.0,110.0,0.0,0.014770030975341797,0.014770030975341797
AcousticContaminationMadrid-no-missing,catch22,1,4.555710421323092,3.3543656700719104,0.0400879296667597,0.0,0.0,22.0,0.0,0.0009851455688476562,0.0009851455688476562
AluminiumConcentration,catch22,1,347.76690930130957,260.26218560881466,0.409617420104582,0.0,0.0,22.0,0.0,0.0012562274932861328,0.0012562274932861328
BeijingIntAirportPM25Quality,catch22,6,225.65838731458405,58.831019774537474,0.9783198804119968,0.0,0.0,132.0,0.0,0.012223243713378906,0.012223243713378906
BinanceCoinSentiment,catch22,2,0.3573037645574658,0.2742105021936271,19351414802189.52,0.0,0.0,44.0,0.0,0.002229452133178711,0.002229452133178711
BitcoinSentiment,catch22,2,0.2615597592549013,0.1786000661830311,5.468675804744122,0.0,0.0,44.0,0.0,0.0016636848449707031,0.0016636848449707031
BoronConcentration,catch22,1,1.2158515991901022,0.834415859025793,188.74253234177644,0.0,0.0,22.0,0.0,0.0012729167938232422,0.0012729167938232422
CalciumConcentration,catch22,1,3105.618606002728,1898.0340982020796,4836.025273937578,0.0,0.0,22.0,0.0,0.0012695789337158203,0.0012695789337158203
CardanoSentiment,catch22,2,0.2939182894439902,0.21707981164646364,77144314819775.16,0.0,0.0,44.0,0.0,0.0012538433074951172,0.0012538433074951172
