Name,Strategy,Num dim,RMSE,MAE,MAPE,Run time (extr),Run time (tsf),Num features,Time/feature,Run time (classif),Total time
HouseholdPowerConsumption1,tsfel,5,98.59972182918054,71.10886828608923,0.07042307980227999,0.0,0.0,1945.0,0.0,0.16214704513549805,0.16214704513549805
HouseholdPowerConsumption2,tsfel,5,50.84263419771898,38.135743974914,0.21575380819811726,0.0,0.0,1945.0,0.0,0.1490797996520996,0.1490797996520996
BeijingPM25Quality,tsfel,9,69.43857848916986,42.76851190254063,0.5086555403280619,0.0,0.0,1314.0,0.0,7.0482563972473145,7.0482563972473145
BeijingPM10Quality,tsfel,9,106.04854507714447,62.73136829710598,0.41473764728622214,0.0,0.0,1314.0,0.0,6.43764853477478,6.43764853477478
Covid3Month,tsfel,1,0.03989821490274571,0.02885222743773849,20941393287286.637,0.0,0.0,177.0,0.0,0.002873659133911133,0.002873659133911133
LiveFuelMoistureContent,tsfel,7,176.33057343731866,43.65405960634846,0.400160038256532,0.0,0.0,2212.0,0.0,9.136632680892944,9.136632680892944
FloodModeling1,tsfel,1,0.0045668248623320605,0.003377298167172088,0.007653627516110223,0.0,0.0,267.0,0.0,0.023290395736694336,0.023290395736694336
FloodModeling2,tsfel,1,0.0025962380491890984,0.0014123325756359613,0.0058508801141304466,0.0,0.0,267.0,0.0,0.023308992385864258,0.023308992385864258
FloodModeling3,tsfel,1,0.0052445865682425605,0.0035771149313484824,0.008782642483084234,0.0,0.0,267.0,0.0,0.023223161697387695,0.023223161697387695
AppliancesEnergy,tsfel,24,2.303976680080207,1.8426828645529107,0.13790581099563126,0.0,0.0,4944.0,0.0,0.007300376892089844,0.007300376892089844
BenzeneConcentration,tsfel,8,69.18433284841579,56.12455816541397,11.62834850936501,0.0,0.0,2040.0,0.0,7.601945638656616,7.601945638656616
NewsHeadlineSentiment,tsfel,3,0.14477449109275603,0.10965322597034484,4076632929213.6353,0.0,0.0,618.0,0.0,9.191938638687134,9.191938638687134
NewsTitleSentiment,tsfel,3,0.1401589132914926,0.09871971150348251,7879348459428.815,0.0,0.0,618.0,0.0,9.609320163726807,9.609320163726807
BIDMC32RR,tsfel,2,12.154079399457132,8.481906999850336,0.4936092629929657,0.0,0.0,778.0,0.0,1.1724247932434082,1.1724247932434082
BIDMC32HR,tsfel,2,37.18387729328833,17.8929490790052,0.21411299407664214,0.0,0.0,778.0,0.0,1.1486327648162842,1.1486327648162842
BIDMC32SpO2,tsfel,2,6.13048537391543,4.389937029014784,0.04592066384989285,0.0,0.0,778.0,0.0,1.1807444095611572,1.1807444095611572
IEEEPPG,tsfel,5,409.7450739512184,250.84975669305194,2.2534620495205098,0.0,0.0,1945.0,0.0,1.417922019958496,1.417922019958496
AcousticContaminationMadrid-no-missing,tsfel,1,5.4091081905575304,3.6977664581533034,0.04366578477805009,0.0,0.0,317.0,0.0,0.005043983459472656,0.005043983459472656
AluminiumConcentration,tsfel,1,333.6461514531966,226.97104378302575,0.3077448943309223,0.0,0.0,390.0,0.0,0.0398252010345459,0.0398252010345459
BeijingIntAirportPM25Quality,tsfel,6,65.06548152033773,49.10213238974045,0.8879513471562621,0.0,0.0,882.0,0.0,0.45993709564208984,0.45993709564208984
BinanceCoinSentiment,tsfel,2,0.34983338077797094,0.2694892833988526,10977936122420.08,0.0,0.0,292.0,0.0,0.005137443542480469,0.005137443542480469
BitcoinSentiment,tsfel,2,0.262030063031088,0.188677016708665,4.650215400437329,0.0,0.0,292.0,0.0,0.0073926448822021484,0.0073926448822021484
BoronConcentration,tsfel,1,2.5851271145347905,1.4806334090547881,339.4134531249927,0.0,0.0,389.0,0.0,0.04120516777038574,0.04120516777038574
CalciumConcentration,tsfel,1,3079.836608480434,2137.7147542990238,3398.593917117434,0.0,0.0,389.0,0.0,0.041956186294555664,0.041956186294555664
