Name,Strategy,Num dim,RMSE,MAE,MAPE,Run time (extr),Run time (tsf),Num features,Time/feature,Run time (classif),Total time
HouseholdPowerConsumption1,tsfeatures,5,348.8999716590101,221.4507599898618,0.5615275086997056,0.0,0.0,185.0,0.0,0.021069765090942383,0.021069765090942383
HouseholdPowerConsumption2,tsfeatures,5,73.19472159704509,31.508295254781917,0.3737847088605144,0.0,0.0,185.0,0.0,0.015108346939086914,0.015108346939086914
BeijingPM25Quality,tsfeatures,9,94.85207063261268,66.50487034586904,1.0007790285707183,0.0,0.0,333.0,0.0,0.6070780754089355,0.6070780754089355
BeijingPM10Quality,tsfeatures,9,122.7188690665871,85.38573951393165,0.6938230625967147,0.0,0.0,333.0,0.0,0.5147171020507812,0.5147171020507812
Covid3Month,tsfeatures,1,0.043070942320125344,0.03220812770475491,24814965016792.41,0.0,0.0,37.0,0.0,0.0012056827545166016,0.0012056827545166016
LiveFuelMoistureContent,tsfeatures,7,43.16999095460107,32.45005250052566,0.29799143167592385,0.0,0.0,259.0,0.0,0.10222053527832031,0.10222053527832031
FloodModeling1,tsfeatures,1,0.017087545741590365,0.012385369353919123,0.027787431207199866,0.0,0.0,37.0,0.0,0.0017189979553222656,0.0017189979553222656
FloodModeling2,tsfeatures,1,0.014552516847919427,0.004800310416965277,0.017932868692590007,0.0,0.0,37.0,0.0,0.0018644332885742188,0.0018644332885742188
FloodModeling3,tsfeatures,1,0.019232639478952065,0.01384022197377134,0.03328699271199955,0.0,0.0,37.0,0.0,0.0016446113586425781,0.0016446113586425781
AppliancesEnergy,tsfeatures,24,3.2040996039802234,2.617945243271314,0.20057994157305326,0.0,0.0,888.0,0.0,0.002765655517578125,0.002765655517578125
BenzeneConcentration,tsfeatures,8,323481.7730488271,64677.546661419256,9414.571920651213,0.0,0.0,296.0,0.0,0.15137004852294922,0.15137004852294922
NewsHeadlineSentiment,tsfeatures,3,0.1422924657289631,0.10907112922814176,4069677907328.395,0.0,0.0,111.0,0.0,0.9549415111541748,0.9549415111541748
NewsTitleSentiment,tsfeatures,3,0.13816470358057015,0.09797707523456117,6156232361613.247,0.0,0.0,111.0,0.0,0.9942629337310791,0.9942629337310791
BIDMC32RR,tsfeatures,2,7.0905375351834845,4.214167263273613,0.22719387632174123,0.0,0.0,74.0,0.0,0.052095651626586914,0.052095651626586914
BIDMC32HR,tsfeatures,2,12.48330724865323,8.882279415675482,0.10121043304820126,0.0,0.0,74.0,0.0,0.03209185600280762,0.03209185600280762
BIDMC32SpO2,tsfeatures,2,5.841283469933448,4.2362396782585385,0.04608848357789335,0.0,0.0,74.0,0.0,0.030052661895751953,0.030052661895751953
IEEEPPG,tsfeatures,5,62.7990654110367,37.30747228276016,0.35447028212127596,0.0,0.0,185.0,0.0,0.04016423225402832,0.04016423225402832
AcousticContaminationMadrid-no-missing,tsfeatures,1,6.43913738189996,5.058330010466668,0.059961267252579775,0.0,0.0,37.0,0.0,0.001384735107421875,0.001384735107421875
AluminiumConcentration,tsfeatures,1,328.46154233023947,242.0017807846979,0.4081858592613364,0.0,0.0,37.0,0.0,0.0016491413116455078,0.0016491413116455078
BeijingIntAirportPM25Quality,tsfeatures,6,68.6073174671702,51.11210103539478,0.9144682398212004,0.0,0.0,222.0,0.0,0.03271985054016113,0.03271985054016113
BinanceCoinSentiment,tsfeatures,2,0.4158532853316499,0.33026489521899466,10914714456456.213,0.0,0.0,74.0,0.0,0.0024938583374023438,0.0024938583374023438
BitcoinSentiment,tsfeatures,2,0.28253531178693964,0.22395252523797926,6.253809897022686,0.0,0.0,74.0,0.0,0.002292156219482422,0.002292156219482422
BoronConcentration,tsfeatures,1,1.0730859367885808,0.6501845050885057,130.82353726753547,0.0,0.0,37.0,0.0,0.001603841781616211,0.001603841781616211
CalciumConcentration,tsfeatures,1,3160.5825668344473,1852.5180481783527,4736.959067754875,0.0,0.0,37.0,0.0,0.0016660690307617188,0.0016660690307617188
CardanoSentiment,tsfeatures,2,0.45402333421671925,0.34426782181081456,137822808698798.27,0.0,0.0,74.0,0.0,0.0012996196746826172,0.0012996196746826172
ChilledWaterPredictor,tsfeatures,4,2108.336124484252,1454.0642535316754,2.391312932877665e+17,0.0,0.0,148.0,0.0,0.007028818130493164,0.007028818130493164
CopperConcentration,tsfeatures,1,1.9834293463593897,1.1640889202515738,42.995160590334926,0.0,0.0,37.0,0.0,0.0015969276428222656,0.0015969276428222656
Covid19Andalusia,tsfeatures,1,0.01893749526937063,0.013686704699340706,1.8171872956773332,0.0,0.0,37.0,0.0,0.001203298568725586,0.001203298568725586
DailyOilGasPrices,tsfeatures,2,1.9582819404297849,1.5405422949968641,0.39503001512281605,0.0,0.0,74.0,0.0,0.0020973682403564453,0.0020973682403564453
DailyTemperatureLatitude,tsfeatures,1,9.79674263378318,7.809363226160968,1.0248687483234913,0.0,0.0,37.0,0.0,0.0692133903503418,0.0692133903503418
DhakaHourlyAirQuality,tsfeatures,1,52.55846760546169,40.48578796526839,0.32776431797704025,0.0,0.0,37.0,0.0,0.003058910369873047,0.003058910369873047
ElectricityPredictor,tsfeatures,4,506.8323978665129,288.3529908741935,59.118791900180284,0.0,0.0,148.0,0.0,0.012012958526611328,0.012012958526611328
ElectricMotorTemperature,tsfeatures,6,13.962174562767505,10.83289372831748,0.20900809556137484,0.0,0.0,222.0,0.0,0.3845076560974121,0.3845076560974121
EthereumSentiment,tsfeatures,2,0.2903788220282241,0.23609984829223735,38888310053182.97,0.0,0.0,74.0,0.0,0.0024874210357666016,0.0024874210357666016
GasSensorArrayAcetone,tsfeatures,1,0.4522284512073261,0.21174752032706798,403421785447811.7,0.0,0.0,37.0,0.0,0.0020368099212646484,0.0020368099212646484
GasSensorArrayEthanol,tsfeatures,1,0.24327553611042066,0.18321746371720243,248459155856873.72,0.0,0.0,37.0,0.0,0.0016040802001953125,0.0016040802001953125
HotwaterPredictor,tsfeatures,4,1411.9485402741223,1016.4711659237191,12.886065129628182,0.0,0.0,148.0,0.0,0.007758617401123047,0.007758617401123047
IronConcentration,tsfeatures,1,79.82523495169423,54.83706511042975,0.6053814910343528,0.0,0.0,37.0,0.0,0.0019524097442626953,0.0019524097442626953
LPGasMonitoringHomeActivity,tsfeatures,1,1.3135398858996932,0.9476709731926992,0.12283228615751263,0.0,0.0,37.0,0.0,0.004679203033447266,0.004679203033447266
MadridPM10Quality-no-missing,tsfeatures,3,10.831737650618546,8.4597896410743,0.3356859199126469,0.0,0.0,111.0,0.0,0.04713129997253418,0.04713129997253418
MagnesiumConcentration,tsfeatures,1,294.53705257486337,166.61587852357485,0.9938524231289886,0.0,0.0,37.0,0.0,0.004014492034912109,0.004014492034912109
ManganeseConcentration,tsfeatures,1,96.28073377158299,67.7159133792274,3.7133996994614797,0.0,0.0,37.0,0.0,0.0019397735595703125,0.0019397735595703125
MethaneMonitoringHomeActivity,tsfeatures,1,0.5807697234041236,0.38749472097372967,0.03255463442683852,0.0,0.0,37.0,0.0,0.005916118621826172,0.005916118621826172
MetroInterstateTrafficVolume,tsfeatures,4,561.8409596406872,467.5339688914319,0.16055016735400918,0.0,0.0,148.0,0.0,0.013429403305053711,0.013429403305053711
NaturalGasPricesSentiment,tsfeatures,1,0.09725223692984206,0.07841729914820979,0.3468828877145219,0.0,0.0,37.0,0.0,0.0011420249938964844,0.0011420249938964844
OccupancyDetectionLight,tsfeatures,3,158.5886327069753,124.74227530318775,2.5374207028429056e+17,0.0,0.0,111.0,0.0,0.004019498825073242,0.004019498825073242
ParkingBirmingham-equal-length,tsfeatures,1,0.19047286348477205,0.15467609089654966,0.5427217532262816,0.0,0.0,37.0,0.0,0.0028908252716064453,0.0028908252716064453
PhosphorusConcentration,tsfeatures,1,25.222255776689558,11.224864825455963,10.579572052353459,0.0,0.0,37.0,0.0,0.0033693313598632812,0.0033693313598632812
