Name,Strategy,Num dim,RMSE,MAE,MAPE,Run time (extr),Run time (tsf),Num features,Time/feature,Run time (classif),Total time
HouseholdPowerConsumption1,intervals_c22,5,355.43995772361575,173.34205342384897,0.22904084999702812,0.0,0.0,990.0,0.0,0.13655686378479004,0.13655686378479004
HouseholdPowerConsumption2,intervals_c22,5,107.98221667704587,44.12274348778802,0.37741899831992454,0.0,0.0,990.0,0.0,0.12253141403198242,0.12253141403198242
BeijingPM25Quality,intervals_c22,9,80.38115895795178,51.900871310463955,0.6138022165030376,0.0,0.0,990.0,0.0,3.5307114124298096,3.5307114124298096
BeijingPM10Quality,intervals_c22,9,126.73334183452727,72.98709897996123,0.5266018513633389,0.0,0.0,990.0,0.0,3.855801820755005,3.855801820755005
Covid3Month,intervals_c22,1,0.06767612079402059,0.048943381541806365,43723087903278.1,0.0,0.0,990.0,0.0,0.00445246696472168,0.00445246696472168
LiveFuelMoistureContent,intervals_c22,7,50.93819112420064,38.3731151371743,0.3467402265554495,0.0,0.0,990.0,0.0,1.2823524475097656,1.2823524475097656
FloodModeling1,intervals_c22,1,58148215658.23375,4091294176.7663116,9152783456.677649,0.0,0.0,990.0,0.0,0.04322552680969238,0.04322552680969238
FloodModeling2,intervals_c22,1,93342266713.31032,6746849529.444451,16708561465.883232,0.0,0.0,990.0,0.0,0.041902780532836914,0.041902780532836914
FloodModeling3,intervals_c22,1,0.018797712749884406,0.00924695936190118,0.022563806422530096,0.0,0.0,990.0,0.0,0.034837961196899414,0.034837961196899414
AppliancesEnergy,intervals_c22,24,3.3796955401989974,2.5616058633903305,0.18858975948347517,0.0,0.0,990.0,0.0,0.0026862621307373047,0.0026862621307373047
BenzeneConcentration,intervals_c22,8,16.741202925346226,13.122577656359221,3.427300904589808,0.0,0.0,990.0,0.0,1.2374250888824463,1.2374250888824463
NewsHeadlineSentiment,intervals_c22,3,0.1474223303955608,0.11043333493735691,4428279182439.008,0.0,0.0,990.0,0.0,18.81835103034973,18.81835103034973
NewsTitleSentiment,intervals_c22,3,0.15306322630882377,0.10018158803770606,10843304457400.389,0.0,0.0,990.0,0.0,18.036869525909424,18.036869525909424
BIDMC32RR,intervals_c22,2,4.453432161329557,3.555068984500522,0.20015310386143625,0.0,0.0,990.0,0.0,1.9711031913757324,1.9711031913757324
BIDMC32HR,intervals_c22,2,12.382242324819465,9.73577703990588,0.11107221061202956,0.0,0.0,990.0,0.0,1.8392283916473389,1.8392283916473389
BIDMC32SpO2,intervals_c22,2,5.8550833694422,3.97040921636788,0.04336758386020269,0.0,0.0,990.0,0.0,1.8325860500335693,1.8325860500335693
IEEEPPG,intervals_c22,5,101.04329764468046,75.3790612586159,0.7338819919937206,0.0,0.0,990.0,0.0,0.9355077743530273,0.9355077743530273
AcousticContaminationMadrid-no-missing,intervals_c22,1,4.982169735625908,3.7699129357481342,0.04526552952978605,0.0,0.0,990.0,0.0,0.006005525588989258,0.006005525588989258
AluminiumConcentration,intervals_c22,1,328.1886789242756,253.9717267026482,0.4094580796050987,0.0,0.0,990.0,0.0,0.03910350799560547,0.03910350799560547
BeijingIntAirportPM25Quality,intervals_c22,6,88.189144462267,60.258012785553206,1.177720236174182,0.0,0.0,990.0,0.0,0.5718426704406738,0.5718426704406738
BinanceCoinSentiment,intervals_c22,2,0.47750231631635687,0.34551250308942455,57315034638859.125,0.0,0.0,990.0,0.0,0.006596803665161133,0.006596803665161133
BitcoinSentiment,intervals_c22,2,0.3100372834979722,0.24523923936193698,4.411707184233572,0.0,0.0,990.0,0.0,0.010202407836914062,0.010202407836914062
BoronConcentration,intervals_c22,1,2.8046463236030155,1.9139206658675976,462.2399674769097,0.0,0.0,990.0,0.0,0.0366363525390625,0.0366363525390625
CalciumConcentration,intervals_c22,1,3291.5232238321837,2233.658142261795,14032.014862934788,0.0,0.0,990.0,0.0,0.03732895851135254,0.03732895851135254
CardanoSentiment,intervals_c22,2,0.3698300885190428,0.2615395600135174,90640190893797.08,0.0,0.0,990.0,0.0,0.0020074844360351562,0.0020074844360351562
ChilledWaterPredictor,intervals_c22,4,2913.4669598709465,2205.821289686441,5.758748284340471e+17,0.0,0.0,990.0,0.0,0.018535614013671875,0.018535614013671875
CopperConcentration,intervals_c22,1,2.584715003358883,1.782899772752769,92.3832509648139,0.0,0.0,990.0,0.0,0.036528587341308594,0.036528587341308594
Covid19Andalusia,intervals_c22,1,0.01652547730821974,0.011054441214050793,0.9689379271623361,0.0,0.0,990.0,0.0,0.004568576812744141,0.004568576812744141
DailyOilGasPrices,intervals_c22,2,2.7156650724000104,2.1837731738933184,0.6139888366812039,0.0,0.0,990.0,0.0,0.004196882247924805,0.004196882247924805
DailyTemperatureLatitude,intervals_c22,1,5.600656360953577,4.263020315933928,0.45689548085842974,0.0,0.0,990.0,0.0,8.3653883934021,8.3653883934021
DhakaHourlyAirQuality,intervals_c22,1,12.877922060667489,9.629542903366886,0.08098874831861146,0.0,0.0,990.0,0.0,0.9968295097351074,0.9968295097351074
ElectricityPredictor,intervals_c22,4,667.0173356018212,415.0537099661388,37.92653663964305,0.0,0.0,990.0,0.0,0.06508898735046387,0.06508898735046387
ElectricMotorTemperature,intervals_c22,6,10.582760529702044,7.974809179120903,0.1476462803553584,0.0,0.0,990.0,0.0,4.729501247406006,4.729501247406006
EthereumSentiment,intervals_c22,2,0.40732269998394444,0.2987554996207029,58561417453448.26,0.0,0.0,990.0,0.0,0.011571645736694336,0.011571645736694336
GasSensorArrayAcetone,intervals_c22,1,0.729429016203416,0.2792940222283294,673580970002810.8,0.0,0.0,990.0,0.0,0.019042253494262695,0.019042253494262695
GasSensorArrayEthanol,intervals_c22,1,0.69528842364141,0.24169870354410625,353197890311810.4,0.0,0.0,990.0,0.0,0.019314050674438477,0.019314050674438477
HotwaterPredictor,intervals_c22,4,1269.0653513337572,925.2612149994408,7.5199543746983615,0.0,0.0,990.0,0.0,0.011120796203613281,0.011120796203613281
IronConcentration,intervals_c22,1,97.83187581733196,63.19209224008435,0.747831872123829,0.0,0.0,990.0,0.0,0.03558230400085449,0.03558230400085449
