Name,Strategy,Num dim,RMSE,MAE,MAPE,Run time (extr),Run time (tsf),Num features,Time/feature,Run time (classif),Total time
HouseholdPowerConsumption1,rocket,5,294.9736035460636,227.7168268101232,0.36115046037527954,0.0,0.0,1000.0,0.0,0.12845826148986816,0.12845826148986816
HouseholdPowerConsumption2,rocket,5,43.73955184415202,34.58981070996667,0.22155827056975164,0.0,0.0,1000.0,0.0,0.1266024112701416,0.1266024112701416
BeijingPM25Quality,rocket,9,92.42497813207972,66.31315631012585,0.9644603482750509,0.0,0.0,1000.0,0.0,3.778595209121704,3.778595209121704
BeijingPM10Quality,rocket,9,123.69697916566373,87.76122909140548,0.7084331793427667,0.0,0.0,1000.0,0.0,3.950646162033081,3.950646162033081
Covid3Month,rocket,1,0.04444658742595625,0.03330952537811096,17911219163811.31,0.0,0.0,1000.0,0.0,0.004599571228027344,0.004599571228027344
LiveFuelMoistureContent,rocket,7,51.223547554912486,38.95116229685856,0.35578349890778693,0.0,0.0,1000.0,0.0,1.338587999343872,1.338587999343872
FloodModeling1,rocket,1,0.01668499284418792,0.012844993278873338,0.028981747337757432,0.0,0.0,1000.0,0.0,0.04331016540527344,0.04331016540527344
FloodModeling2,rocket,1,0.012220106249449598,0.006604159605331738,0.027083216785295332,0.0,0.0,1000.0,0.0,0.04203605651855469,0.04203605651855469
FloodModeling3,rocket,1,0.022099437134067375,0.016955209286186063,0.041113792032836105,0.0,0.0,1000.0,0.0,0.034784555435180664,0.034784555435180664
AppliancesEnergy,rocket,24,2.8139343399488848,2.1772180146002023,0.16638155854286507,0.0,0.0,1000.0,0.0,0.0027065277099609375,0.0027065277099609375
BenzeneConcentration,rocket,8,14.357606234816135,11.366064798259085,2.5204638560684627,0.0,0.0,1000.0,0.0,1.2772431373596191,1.2772431373596191
NewsHeadlineSentiment,rocket,3,0.14330599700094443,0.10997899983952558,4294734089636.5684,0.0,0.0,1000.0,0.0,20.135104417800903,20.135104417800903
NewsTitleSentiment,rocket,3,0.13923538546427916,0.09976546943474243,12508201577732.596,0.0,0.0,1000.0,0.0,19.744413375854492,19.744413375854492
BIDMC32RR,rocket,2,5.479532277014946,4.617226870375438,0.28063489951966997,0.0,0.0,1000.0,0.0,1.862959623336792,1.862959623336792
BIDMC32HR,rocket,2,7.201247044678192,5.152479236295929,0.06050059570332118,0.0,0.0,1000.0,0.0,2.044936180114746,2.044936180114746
BIDMC32SpO2,rocket,2,5.324837845035176,4.355649196580197,0.04654372990410932,0.0,0.0,1000.0,0.0,1.9196200370788574,1.9196200370788574
IEEEPPG,rocket,5,38.33634076671618,30.543246755665624,0.33565925181178924,0.0,0.0,1000.0,0.0,0.904963493347168,0.904963493347168
AcousticContaminationMadrid-no-missing,rocket,1,4.3894645880526655,3.4973243113102166,0.04233937576974668,0.0,0.0,1000.0,0.0,0.005875110626220703,0.005875110626220703
