Name,Strategy,Num dim,RMSE,MAE,MAPE,Run time (extr),Run time (tsf),Num features,Time/feature,Run time (classif),Total time
HouseholdPowerConsumption1,minirocket,5,179.95072479257095,143.61617586235957,0.1184830870665932,0.0,0.0,8124.0,0.0,61.67589068412781,61.67589068412781
HouseholdPowerConsumption2,minirocket,5,35.16133601156276,25.53796026590614,0.14443910724501974,0.0,0.0,8124.0,0.0,64.57757496833801,64.57757496833801
BeijingPM25Quality,minirocket,9,60.95450642772583,37.30604437433596,0.397321528866511,0.0,0.0,1140.0,0.0,198.27391028404236,198.27391028404236
BeijingPM10Quality,minirocket,9,95.43264386294635,57.388346671967426,0.399730967815026,0.0,0.0,1140.0,0.0,219.29034090042114,219.29034090042114
Covid3Month,minirocket,1,0.04691249842256538,0.033940429121683366,46603180945433.125,0.0,0.0,1008.0,0.0,1.260725736618042,1.260725736618042
LiveFuelMoistureContent,minirocket,7,44.72780134453591,33.418629560744264,0.3066901867570889,0.0,0.0,3479.0,0.0,426.51859521865845,426.51859521865845
FloodModeling1,minirocket,1,0.006495131256237865,0.004658119035239265,0.010394994951393496,0.0,0.0,1190.0,0.0,6.490766525268555,6.490766525268555
FloodModeling2,minirocket,1,0.01001973298438197,0.0016560196268617811,0.00587650308075965,0.0,0.0,1190.0,0.0,6.146543741226196,6.146543741226196
FloodModeling3,minirocket,1,0.00929697730904392,0.0052295648112245215,0.012399672891973282,0.0,0.0,1190.0,0.0,5.404969692230225,5.404969692230225
AppliancesEnergy,minirocket,24,2.5543190141393195,2.01227145649138,0.14816714744382573,0.0,0.0,4380.0,0.0,3.533499240875244,3.533499240875244
BenzeneConcentration,minirocket,8,0.8290389720834961,0.08552571280783469,0.01190770546454152,0.0,0.0,2844.0,0.0,168.76679468154907,168.76679468154907
NewsHeadlineSentiment,minirocket,3,0.14651124604657417,0.11261303738848216,5038525976212.494,0.0,0.0,1356.0,0.0,3610.920300722122,3610.920300722122
NewsTitleSentiment,minirocket,3,0.1420179808982671,0.10321692808799324,21492707288620.863,0.0,0.0,1356.0,0.0,3424.0348904132843,3424.0348904132843
BIDMC32RR,minirocket,2,3.3378798222146586,2.600350829272928,0.1663903646991609,0.0,0.0,8924.0,0.0,1492.4493353366852,1492.4493353366852
BIDMC32HR,minirocket,2,11.154131734064869,8.626181282657242,0.09833623099782927,0.0,0.0,8924.0,0.0,1276.127146244049,1276.127146244049
BIDMC32SpO2,minirocket,2,5.094799968589888,3.7003618091044204,0.04030328637995432,0.0,0.0,8924.0,0.0,1302.4197263717651,1302.4197263717651
IEEEPPG,minirocket,5,31.92048875686733,26.914409011013536,0.28494341230020204,0.0,0.0,5924.0,0.0,209.0261869430542,209.0261869430542
AcousticContaminationMadrid-no-missing,minirocket,1,4.394191538928631,3.0999167505900065,0.03663754412065482,0.0,0.0,1289.0,0.0,2.279550075531006,2.279550075531006
AluminiumConcentration,minirocket,1,259.5314859810964,187.01683961969206,0.34971810049831875,0.0,0.0,3466.0,0.0,22.150792837142944,22.150792837142944
BeijingIntAirportPM25Quality,minirocket,6,51.76718697489828,38.19224757042982,0.6194443873546377,0.0,0.0,1068.0,0.0,9.612606525421143,9.612606525421143
BinanceCoinSentiment,minirocket,2,0.3394772855320825,0.26385984986784716,13253808727763.691,0.0,0.0,972.0,0.0,1.450915813446045,1.450915813446045
BitcoinSentiment,minirocket,2,0.22808656394364182,0.15603431937103157,3.857314132669897,0.0,0.0,972.0,0.0,1.6833255290985107,1.6833255290985107
BoronConcentration,minirocket,1,2.0543199392707256,0.6142871051338783,61.68613628825224,0.0,0.0,3466.0,0.0,34.50615167617798,34.50615167617798
CalciumConcentration,minirocket,1,1884.7322727809928,1111.4853550833254,4392.326799639075,0.0,0.0,3231.0,0.0,32.17775774002075,32.17775774002075
CardanoSentiment,minirocket,2,0.3044633116681592,0.21099915153205848,36875747320216.13,0.0,0.0,972.0,0.0,0.5060930252075195,0.5060930252075195
ChilledWaterPredictor,minirocket,4,1703.0758870077393,775.9182618400953,1.378088175655961e+17,0.0,0.0,1596.0,0.0,8.622488260269165,8.622488260269165
CopperConcentration,minirocket,1,1.8049889326112036,0.9568630795278735,43.358689119137864,0.0,0.0,3466.0,0.0,26.067079067230225,26.067079067230225
Covid19Andalusia,minirocket,1,0.01619326091623416,0.009597496622403511,0.7867736004075476,0.0,0.0,1015.0,0.0,1.4652502536773682,1.4652502536773682
DailyOilGasPrices,minirocket,2,1.145533443710004,0.8537201692729159,0.20615920635060891,0.0,0.0,984.0,0.0,0.9350376129150391,0.9350376129150391
DailyTemperatureLatitude,minirocket,1,2.4164065908792907,1.5234081544802387,0.23899044826371219,0.0,0.0,1289.0,0.0,885.5320646762848,885.5320646762848
DhakaHourlyAirQuality,minirocket,1,5.975624641595748,3.921779632936929,0.02844598278157978,0.0,0.0,948.0,0.0,11.219679594039917,11.219679594039917
ElectricityPredictor,minirocket,4,561.1029306829572,272.24305884194234,50.51611864467125,0.0,0.0,1596.0,0.0,19.747684955596924,19.747684955596924
ElectricMotorTemperature,minirocket,6,5.499805783825176,3.542214201457165,0.06318415392606583,0.0,0.0,1284.0,0.0,398.57017493247986,398.57017493247986
EthereumSentiment,minirocket,2,0.22739827160742035,0.17157198129500323,24973512070359.65,0.0,0.0,972.0,0.0,1.8804588317871094,1.8804588317871094
GasSensorArrayAcetone,minirocket,1,0.20457810250076439,0.1297857153575335,168498965601770.75,0.0,0.0,8424.0,0.0,30.797127723693848,30.797127723693848
GasSensorArrayEthanol,minirocket,1,0.18786172717416058,0.10841428674651044,103647130542932.38,0.0,0.0,8424.0,0.0,29.519773960113525,29.519773960113525
HotwaterPredictor,minirocket,4,1187.93987436445,769.8850477247422,5.8929299744073464,0.0,0.0,1596.0,0.0,5.5230183601379395,5.5230183601379395
IronConcentration,minirocket,1,67.25262636101955,45.57602411021357,0.49481491987361254,0.0,0.0,2640.0,0.0,18.98328161239624,18.98328161239624
LPGasMonitoringHomeActivity,minirocket,1,1.3144773838185784,0.9486952288908767,0.12199236408581562,0.0,0.0,1024.0,0.0,30.441866874694824,30.441866874694824
MadridPM10Quality-no-missing,minirocket,3,8.400052536171167,6.449749594313283,0.25997168669598514,0.0,0.0,1428.0,0.0,139.59571719169617,139.59571719169617
MagnesiumConcentration,minirocket,1,161.5705534827104,80.65772735870456,0.3740225580296941,0.0,0.0,4502.0,0.0,162.0745186805725,162.0745186805725
ManganeseConcentration,minirocket,1,85.84779652735295,63.06164493507017,3.7122666349715687,0.0,0.0,2640.0,0.0,19.333307027816772,19.333307027816772
MethaneMonitoringHomeActivity,minirocket,1,0.5247772406145556,0.35017821090345436,0.029297844875448318,0.0,0.0,1024.0,0.0,36.01117825508118,36.01117825508118
MetroInterstateTrafficVolume,minirocket,4,549.3993942748577,458.9956447452911,0.15707571259004194,0.0,0.0,1020.0,0.0,7.433668613433838,7.433668613433838
NaturalGasPricesSentiment,minirocket,1,0.05323395183164824,0.045170591776924465,0.16766337837612097,0.0,0.0,944.0,0.0,0.3610951900482178,0.3610951900482178
OccupancyDetectionLight,minirocket,3,76.17641313215641,37.18798954558604,2.2652764188810796e+16,0.0,0.0,1104.0,0.0,2.275794744491577,2.275794744491577
ParkingBirmingham-equal-length,minirocket,1,0.12989764678772314,0.08990413122665343,0.29952953040171715,0.0,0.0,938.0,0.0,7.4573023319244385,7.4573023319244385
PhosphorusConcentration,minirocket,1,17.45266583946996,7.763208361883351,45.89416555073996,0.0,0.0,4502.0,0.0,333.5164499282837,333.5164499282837
