Name,Strategy,Num dim,RMSE,MAE,MAPE,Run time (extr),Run time (tsf),Num features,Time/feature,Run time (classif),Total time
HouseholdPowerConsumption1,rocket,5,215.82773991818107,166.89072401119043,0.16887307647545688,0.0,0.0,8200.0,0.0,63.89008021354675,63.89008021354675
HouseholdPowerConsumption2,rocket,5,36.292426718965295,27.102632158115377,0.16927178542199336,0.0,0.0,8200.0,0.0,68.41493368148804,68.41493368148804
BeijingPM25Quality,rocket,9,66.09940251960013,40.16580982572114,0.4394329506460287,0.0,0.0,1216.0,0.0,387.7087631225586,387.7087631225586
BeijingPM10Quality,rocket,9,98.52575351567918,60.30601981019444,0.43952781219410064,0.0,0.0,1216.0,0.0,442.3549201488495,442.3549201488495
Covid3Month,rocket,1,0.04501219826973478,0.03368368939603451,26156366233300.492,0.0,0.0,1084.0,0.0,1.7288477420806885,1.7288477420806885
LiveFuelMoistureContent,rocket,7,44.63997817717942,33.60989549603999,0.30876675021610034,0.0,0.0,3555.0,0.0,453.2264018058777,453.2264018058777
FloodModeling1,rocket,1,0.014198908259897844,0.010638217539480419,0.023836103394439215,0.0,0.0,1266.0,0.0,8.612459421157837,8.612459421157837
FloodModeling2,rocket,1,0.008481160537132987,0.0022171139791237176,0.008526440727524053,0.0,0.0,1266.0,0.0,14.596714973449707,14.596714973449707
FloodModeling3,rocket,1,0.018567890734653945,0.013070544010919073,0.03129079907479793,0.0,0.0,1266.0,0.0,8.647067785263062,8.647067785263062
AppliancesEnergy,rocket,24,2.5798196437246546,2.040742808296567,0.14825703697206333,0.0,0.0,4456.0,0.0,4.043983697891235,4.043983697891235
BenzeneConcentration,rocket,8,0.8918481366632233,0.094027250923668,0.012499308384244949,0.0,0.0,2920.0,0.0,187.37694597244263,187.37694597244263
NewsHeadlineSentiment,rocket,3,0.14675524424701178,0.11268032680063414,5103493419893.897,0.0,0.0,1432.0,0.0,4750.741990327835,4750.741990327835
NewsTitleSentiment,rocket,3,0.14216605117290426,0.10315091828652441,20973670625588.33,0.0,0.0,1432.0,0.0,5092.843051195145,5092.843051195145
BIDMC32RR,rocket,2,3.5024391472357927,2.71752372983298,0.1669533127111837,0.0,0.0,9000.0,0.0,1474.33797955513,1474.33797955513
BIDMC32HR,rocket,2,9.02359612548504,6.012673797734632,0.07452669980649385,0.0,0.0,9000.0,0.0,1313.6096386909485,1313.6096386909485
BIDMC32SpO2,rocket,2,5.15662161543024,4.026719272131719,0.04337671837392208,0.0,0.0,9000.0,0.0,1331.6302349567413,1331.6302349567413
IEEEPPG,rocket,5,29.210283535742388,22.768850508885212,0.2501054911465014,0.0,0.0,6000.0,0.0,239.82216930389404,239.82216930389404
AcousticContaminationMadrid-no-missing,rocket,1,4.412452573825847,3.2315002483791773,0.03864643768455309,0.0,0.0,1365.0,0.0,2.6205406188964844,2.6205406188964844
AluminiumConcentration,rocket,1,288.11809719729683,206.39425599234443,0.3071187595883391,0.0,0.0,3542.0,0.0,22.635460138320923,22.635460138320923
BeijingIntAirportPM25Quality,rocket,6,54.67079997950088,40.47890720377534,0.733718229953604,0.0,0.0,1144.0,0.0,18.214280366897583,18.214280366897583
BinanceCoinSentiment,rocket,2,0.3457783492147426,0.27565488852749137,15936813959992.006,0.0,0.0,1048.0,0.0,2.266113519668579,2.266113519668579
BitcoinSentiment,rocket,2,0.2332842643143945,0.16307301876600835,3.7573877038854406,0.0,0.0,1048.0,0.0,2.931840181350708,2.931840181350708
BoronConcentration,rocket,1,2.760310447809187,0.750738339456519,58.615215571620276,0.0,0.0,3542.0,0.0,38.08483958244324,38.08483958244324
CalciumConcentration,rocket,1,1912.0484605402264,1078.2143425598142,4423.656005387426,0.0,0.0,3307.0,0.0,30.46251606941223,30.46251606941223
CardanoSentiment,rocket,2,0.30575527317657675,0.2270552122722747,59841648737252.87,0.0,0.0,1048.0,0.0,0.6832485198974609,0.6832485198974609
ChilledWaterPredictor,rocket,4,1739.1785330957123,915.1662095797769,1.3195852405051157e+17,0.0,0.0,1672.0,0.0,10.269920110702515,10.269920110702515
CopperConcentration,rocket,1,1.8591625218710244,0.9555428901123544,44.534720589514386,0.0,0.0,3542.0,0.0,27.712799787521362,27.712799787521362
Covid19Andalusia,rocket,1,0.011654907947129662,0.008057350056610192,0.8134420378440044,0.0,0.0,1091.0,0.0,1.7379529476165771,1.7379529476165771
DailyOilGasPrices,rocket,2,1.5947905875254655,1.345269051502491,0.3669165778719292,0.0,0.0,1060.0,0.0,1.5811052322387695,1.5811052322387695
DailyTemperatureLatitude,rocket,1,2.7369627395992175,1.7612354978124014,0.26475172864961205,0.0,0.0,1365.0,0.0,1210.729752779007,1210.729752779007
DhakaHourlyAirQuality,rocket,1,6.890409947582768,4.3757687930170075,0.03440997431398056,0.0,0.0,1024.0,0.0,20.819082975387573,20.819082975387573
ElectricityPredictor,rocket,4,554.9158329967769,265.09123099557667,56.63735922444258,0.0,0.0,1672.0,0.0,24.606868743896484,24.606868743896484
ElectricMotorTemperature,rocket,6,6.203198202742958,4.138021172367782,0.07460428547349858,0.0,0.0,1360.0,0.0,619.4361863136292,619.4361863136292
EthereumSentiment,rocket,2,0.23670111191550025,0.17618136426503553,29546896542264.336,0.0,0.0,1048.0,0.0,3.010280132293701,3.010280132293701
GasSensorArrayAcetone,rocket,1,0.19576297627854972,0.12517142980332885,175962073825093.16,0.0,0.0,8500.0,0.0,32.0835816860199,32.0835816860199
GasSensorArrayEthanol,rocket,1,0.19536895505482368,0.1261428585222789,115871187273552.86,0.0,0.0,8500.0,0.0,28.093799829483032,28.093799829483032
HotwaterPredictor,rocket,4,1198.6608504608603,799.0489962412682,5.78861242065644,0.0,0.0,1672.0,0.0,6.701080322265625,6.701080322265625
IronConcentration,rocket,1,67.95539223348416,45.8415877269662,0.4979313295007195,0.0,0.0,2716.0,0.0,22.395846128463745,22.395846128463745
LPGasMonitoringHomeActivity,rocket,1,1.3459075009044288,0.9883795123844478,0.12591779565102093,0.0,0.0,1100.0,0.0,90.58943676948547,90.58943676948547
